timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
560309436773,20279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309480543,20280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309538358,20281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309544421,20282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309563753,20283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309594322,20284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309624113,20285,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309655819,20286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309695788,20287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309722078,20288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309758379,20289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309784529,20290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309818330,20291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309852007,20292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309902600,20293,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309910546,20294,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309942158,20295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560309973232,20296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310004574,20297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310034763,20298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310067310,20299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310115968,20300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310140767,20301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310160921,20302,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310193447,20303,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310219588,20304,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310293035,20305,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310299099,20306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310324280,20307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310350455,20308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310376709,20309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310408198,20310,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310437833,20311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310469891,20312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310500755,20313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310532011,20314,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310564509,20315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310613508,20316,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310654429,20317,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310661957,20318,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310690868,20319,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310723410,20320,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310760761,20321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310792419,20322,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310815815,20323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310844723,20324,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310877155,20325,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310908529,20326,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560310938599,20327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311018478,20328,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311032035,20329,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311042071,20330,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311063326,20331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311093377,20332,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311124702,20333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311181526,20334,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311191970,20335,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311214708,20336,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311245598,20337,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311280616,20338,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311315960,20339,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311397198,20340,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311408035,20341,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311418133,20342,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311443303,20343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311478395,20344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311508216,20345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311533410,20346,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311565925,20347,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311621817,20348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311625871,20349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311683345,20350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311694614,20351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311758519,20352,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311768337,20353,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311788297,20354,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311819604,20355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311851998,20356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311874742,20357,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311909734,20358,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311940876,20359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560311975932,20360,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312038510,20361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312041476,20362,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312106087,20363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312119544,20364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312131038,20365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312155629,20366,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312188309,20367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312220944,20368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312254805,20369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312300942,20370,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312315942,20371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312352152,20372,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312379529,20373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312414040,20374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312476877,20375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312485670,20376,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312508317,20377,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312532051,20378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312565875,20379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312596017,20380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312625770,20381,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312679642,20382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312704600,20383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312725869,20384,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312757195,20385,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312789744,20386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312845189,20387,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312852741,20388,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312888414,20389,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312907132,20390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312938181,20391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560312973486,20392,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313027130,20393,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313031844,20394,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313064693,20395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313101026,20396,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313128417,20397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313158400,20398,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313216854,20399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313223994,20400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313246440,20401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313302006,20402,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313324746,20403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313345937,20404,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313377189,20405,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313408502,20406,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313439770,20407,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313470962,20408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313503262,20409,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313574654,20410,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313588338,20411,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313593964,20412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313632345,20413,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313663415,20414,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313695953,20415,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313720963,20416,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313752185,20417,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313815995,20418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313828470,20419,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313852231,20420,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313889699,20421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313976327,20422,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560313995828,20423,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314010836,20424,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314014914,20425,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314033803,20426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314089448,20427,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314095704,20428,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314136998,20429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314162095,20430,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314194469,20431,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314226795,20432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314249396,20433,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314317145,20434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314321857,20435,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314360629,20436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314373379,20437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314404385,20438,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314434364,20439,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314468425,20440,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314507036,20441,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314535988,20442,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314560702,20443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314599420,20444,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314628396,20445,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314683414,20446,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314693417,20447,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314724406,20448,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314751874,20449,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314782440,20450,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314815554,20451,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314848515,20452,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314873354,20453,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314911022,20454,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314942288,20455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560314973228,20456,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315025742,20457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315055760,20458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315069436,20459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315107574,20460,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315131009,20461,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315161780,20462,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315182803,20463,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315242025,20464,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560315250728,20465,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
