timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
561268325406,40457,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
561268331907,40458,-2,0,0.0000000000,0.0211111111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
561268365648,40459,-2,0,0.0066666667,0.0100000000,0.0211111111,0.0000000000,0.0000000000,0.0000000000,-2.5300000000,0.2000000000,-8.9800000000
561268395577,40460,-2,0,0.0088888889,0.0077777778,-0.0333333333,0.0000000000,0.0000000000,0.0000000000,-2.5700000000,0.1400000000,-9.0800000000
561268426803,40461,-2,0,-0.0122222222,-0.0011111111,-0.0300000000,36.8750000000,7.4375000000,18.6250000000,-2.5800000000,0.0500000000,-9.1000000000
561268459515,40462,-2,0,-0.0177777778,-0.0211111111,0.0233333333,36.8750000000,7.4375000000,18.6250000000,-2.5600000000,0.1800000000,-9.0300000000
561268537398,40463,-2,0,-0.0022222222,-0.0200000000,-0.0288888889,36.8750000000,7.4375000000,18.6250000000,-2.5000000000,0.0900000000,-8.9300000000
561268544363,40464,-2,0,0.0022222222,0.0000000000,0.0088888889,36.4375000000,8.1875000000,19.0000000000,-2.5200000000,0.0900000000,-8.9200000000
561268558089,40465,-2,0,0.0022222222,0.0100000000,0.0288888889,36.4375000000,8.1875000000,19.0000000000,-2.5900000000,0.2300000000,-9.0600000000
561268591686,40466,-2,0,-0.0011111111,0.0066666667,-0.0300000000,36.4375000000,8.1875000000,19.0000000000,-2.5600000000,0.1500000000,-9.1000000000
561268627957,40467,-2,0,-0.0088888889,-0.0100000000,-0.0133333333,37.2500000000,8.5000000000,19.7500000000,-2.5000000000,0.0900000000,-8.9900000000
561268650439,40468,-2,0,0.0000000000,-0.0066666667,0.0077777778,37.2500000000,8.5000000000,19.7500000000,-2.5800000000,0.1600000000,-8.9900000000
561268688066,40469,-2,0,-0.0044444444,0.0000000000,-0.0300000000,37.2500000000,8.5000000000,19.7500000000,-2.5400000000,0.0500000000,-9.0200000000
561268710366,40470,-2,0,-0.0022222222,-0.0022222222,0.0300000000,37.2500000000,8.5000000000,19.7500000000,-2.5000000000,0.1300000000,-9.0700000000
561268742014,40471,-2,0,0.0000000000,-0.0022222222,-0.0144444444,37.6875000000,10.0000000000,19.0000000000,-2.6100000000,0.0700000000,-8.9900000000
561268773087,40472,-2,0,-0.0055555556,0.0077777778,0.0166666667,37.6875000000,10.0000000000,19.0000000000,-2.5200000000,0.1200000000,-8.9800000000
561268840724,40473,-2,0,-0.0044444444,0.0144444444,0.0077777778,37.6875000000,10.0000000000,19.0000000000,-2.5200000000,0.1500000000,-9.0300000000
561268847986,40474,-2,0,-0.0033333333,0.0177777778,-0.0100000000,36.0625000000,7.8125000000,16.8125000000,-2.5600000000,0.0700000000,-9.0400000000
561268904525,40475,-2,0,0.0000000000,0.0111111111,0.0044444444,36.0625000000,7.8125000000,16.8125000000,-2.5700000000,0.1100000000,-9.0500000000
561268911617,40476,-2,0,0.0055555556,0.0033333333,-0.0011111111,36.0625000000,7.8125000000,16.8125000000,-2.5500000000,0.1000000000,-9.0500000000
561268921767,40477,-2,0,0.0088888889,0.0022222222,0.0033333333,35.2500000000,7.0625000000,19.3750000000,-2.5400000000,0.1100000000,-9.0000000000
561268975489,40478,-2,0,0.0044444444,0.0066666667,0.0000000000,35.2500000000,7.0625000000,19.3750000000,-2.5900000000,0.1600000000,-9.0100000000
561269000893,40479,-2,0,0.0022222222,0.0022222222,-0.0144444444,35.2500000000,7.0625000000,19.3750000000,-2.5500000000,0.1200000000,-9.0100000000
561269019537,40480,-2,0,0.0000000000,0.0011111111,-0.0122222222,36.5000000000,7.0625000000,19.0000000000,-2.5300000000,0.0900000000,-9.0400000000
561269052090,40481,-2,0,0.0011111111,-0.0022222222,-0.0077777778,36.5000000000,7.0625000000,19.0000000000,-2.5600000000,0.1300000000,-9.0200000000
561269089392,40482,-2,0,0.0077777778,0.0000000000,0.0000000000,36.5000000000,7.0625000000,19.0000000000,-2.5400000000,0.0900000000,-9.0100000000
561269122125,40483,-2,0,0.0066666667,-0.0011111111,0.0044444444,36.5000000000,7.0625000000,19.0000000000,-2.5400000000,0.1500000000,-9.0400000000
561269155349,40484,-2,0,0.0022222222,-0.0044444444,0.0000000000,37.6875000000,7.0625000000,19.3750000000,-2.6300000000,0.1400000000,-9.0400000000
561269176649,40485,-2,0,0.0022222222,-0.0044444444,-0.0022222222,37.6875000000,7.0625000000,19.3750000000,-2.5300000000,0.1400000000,-9.0200000000
561269207840,40486,-2,0,0.0044444444,0.0000000000,-0.0066666667,37.6875000000,7.0625000000,19.3750000000,-2.5100000000,0.1300000000,-9.0000000000
561269272913,40487,-2,0,0.0011111111,0.0088888889,-0.0122222222,36.5000000000,8.8750000000,19.0000000000,-2.6400000000,0.1000000000,-9.0300000000
561269280575,40488,5,0,0.0088888889,0.0111111111,0.0177777778,36.5000000000,8.8750000000,19.0000000000,-2.5400000000,0.2000000000,-8.9700000000
561269302570,40489,5,0,0.0122222222,0.0077777778,-0.0444444444,36.5000000000,8.8750000000,19.0000000000,-2.5200000000,0.1400000000,-9.0800000000
561269329895,40490,5,0,-0.0144444444,-0.0155555556,0.0000000000,37.3125000000,7.4375000000,20.1250000000,-2.5600000000,0.0400000000,-9.0900000000
561269363079,40491,5,0,-0.0077777778,-0.0222222222,0.0288888889,37.3125000000,7.4375000000,20.1250000000,-2.5400000000,0.1900000000,-8.9900000000
561269395672,40492,5,0,0.0044444444,-0.0055555556,-0.0333333333,37.3125000000,7.4375000000,20.1250000000,-2.5000000000,0.0600000000,-8.8700000000
561269435623,40493,5,0,0.0100000000,0.0100000000,0.0344444444,36.1250000000,7.8125000000,18.2500000000,-2.4900000000,0.1200000000,-8.9800000000
561269479534,40494,5,0,0.0100000000,0.0200000000,0.0288888889,36.1250000000,7.8125000000,18.2500000000,-2.6000000000,0.2400000000,-9.0500000000
561269503241,40495,5,0,0.0000000000,0.0111111111,-0.0277777778,36.1250000000,7.8125000000,18.2500000000,-2.5300000000,0.1800000000,-9.1300000000
561269520601,40496,5,0,-0.0111111111,0.0000000000,-0.0144444444,37.3125000000,8.1875000000,19.0000000000,-2.5500000000,0.1400000000,-9.0200000000
561269549440,40497,5,0,-0.0011111111,0.0000000000,-0.0411111111,37.3125000000,8.1875000000,19.0000000000,-2.6400000000,0.1600000000,-8.9800000000
561269584446,40498,5,0,-0.0011111111,0.0088888889,0.0000000000,37.3125000000,8.1875000000,19.0000000000,-2.5200000000,0.0400000000,-8.9900000000
561269640023,40499,5,0,0.0044444444,-0.0011111111,0.0222222222,37.3125000000,7.0625000000,18.6250000000,-2.5400000000,0.1700000000,-9.0600000000
561269649178,40500,5,0,0.0022222222,-0.0088888889,-0.0177777778,37.3125000000,7.0625000000,18.6250000000,-2.6500000000,0.0900000000,-9.0300000000
561269670525,40501,5,0,0.0044444444,-0.0077777778,0.0200000000,37.3125000000,7.0625000000,18.6250000000,-2.5400000000,0.1400000000,-9.0200000000
561269696589,40502,5,0,0.0088888889,-0.0022222222,0.0055555556,37.3125000000,7.0625000000,18.6250000000,-2.5300000000,0.1900000000,-9.0100000000
561269753006,40503,5,0,0.0055555556,0.0000000000,-0.0077777778,36.5000000000,8.1875000000,19.3750000000,-2.6200000000,0.1600000000,-9.0400000000
561269771799,40504,5,0,0.0022222222,-0.0044444444,-0.0055555556,36.5000000000,8.1875000000,19.3750000000,-2.5000000000,0.1900000000,-9.0200000000
561269803089,40505,5,0,0.0033333333,0.0000000000,-0.0155555556,36.5000000000,8.1875000000,19.3750000000,-2.4800000000,0.1200000000,-8.9900000000
561269833225,40506,5,0,0.0055555556,0.0033333333,0.0000000000,36.5625000000,7.0625000000,19.3750000000,-2.5000000000,0.1600000000,-9.0400000000
