timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
2034360478,2449,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034370365,2450,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034385509,2451,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034416499,2452,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034447852,2453,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034502841,2454,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034529109,2455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034544027,2456,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034572757,2457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034604195,2458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034635436,2459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034715531,2460,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034740443,2461,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034749189,2462,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034769582,2463,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034785927,2464,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034818277,2465,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034849269,2466,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034883063,2467,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034916607,2468,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034952865,2469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2034979110,2470,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035007916,2471,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035100711,2472,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035107901,2473,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035116916,2474,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035143218,2475,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035180582,2476,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035195556,2477,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035224437,2478,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035270767,2479,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035294523,2480,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035335732,2481,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035352970,2482,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035390857,2483,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035458271,2484,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035468176,2485,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035475425,2486,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035504329,2487,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035535608,2488,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035567001,2489,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035605856,2490,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035637086,2491,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035665795,2492,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035696843,2493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035733122,2494,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035786082,2495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035814622,2496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035858366,2497,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2035872029,2498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
