timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
133277463992,5723,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277551395,5724,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277563922,5725,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277586711,5726,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277621719,5727,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277641685,5728,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277656452,5729,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277685177,5730,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277710237,5731,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277741303,5732,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277772649,5733,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277801805,5734,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277833884,5735,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277909007,5736,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277917639,5737,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277935232,5738,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277961329,5739,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133277997722,5740,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278031428,5741,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278056751,5742,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278092596,5743,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278138931,5744,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278148824,5745,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278176434,5746,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278209719,5747,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278297659,5748,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278306427,5749,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278315111,5750,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278338768,5751,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278367738,5752,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278422682,5753,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278426350,5754,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278460188,5755,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278495213,5756,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278525167,5757,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278554762,5758,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278608479,5759,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278656120,5760,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278665390,5761,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278682994,5762,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278706699,5763,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278744300,5764,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278800275,5765,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278804247,5766,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278837997,5767,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278870602,5768,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278901546,5769,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133278930457,5770,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133279007625,5771,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133279026886,5772,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133279034108,5773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133279055403,5774,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133279090141,5775,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133279118936,5776,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133279147919,5777,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
