timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
129775263530,3685,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775291004,3686,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775324677,3687,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775353441,3688,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775387185,3689,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775420945,3690,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775442425,3691,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775522549,3692,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775550993,3693,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775560966,3694,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775601018,3695,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775612192,3696,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775644726,3697,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775681235,3698,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775696296,3699,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775724957,3700,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775756044,3701,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775793859,3702,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775827832,3703,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775882219,3704,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775908854,3705,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775917513,3706,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775947663,3707,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129775975060,3708,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129776008965,3709,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
