timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
534775049,8007,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
534798724,8008,-2,0,-0.0155555556,-0.0311111111,-0.1277777778,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
534825025,8009,-2,0,-0.0733333333,-0.1088888889,-0.1755555556,0.0000000000,0.0000000000,0.0000000000,-5.9400000000,0.8700000000,-8.9400000000
534857477,8010,-2,0,-0.0911111111,-0.2244444444,0.0922222222,0.0000000000,0.0000000000,0.0000000000,-5.3600000000,0.8000000000,-8.2600000000
534896320,8011,-2,0,-0.0144444444,-0.2066666667,0.2466666667,46.1250000000,19.6250000000,5.6250000000,-5.4200000000,1.1200000000,-7.9800000000
534927449,8012,-2,0,0.0455555556,-0.1011111111,0.2644444444,46.1250000000,19.6250000000,5.6250000000,-5.0900000000,1.3200000000,-7.7600000000
534961469,8013,-2,0,0.0422222222,-0.0744444444,0.1011111111,46.1250000000,19.6250000000,5.6250000000,-4.9300000000,1.0900000000,-7.8700000000
535043761,8014,-2,0,-0.0211111111,-0.1144444444,0.0777777778,46.1250000000,19.6250000000,5.6250000000,-4.8800000000,0.7500000000,-7.5400000000
535051378,8015,-2,0,-0.0777777778,-0.0711111111,0.2644444444,48.1250000000,20.0000000000,6.0000000000,-4.7100000000,1.1000000000,-6.9700000000
535062485,8016,-2,0,0.0022222222,0.0522222222,0.1277777778,48.1250000000,20.0000000000,6.0000000000,-4.8700000000,1.0100000000,-6.3400000000
535077712,8017,-2,0,0.0433333333,0.2866666667,0.2644444444,48.1250000000,20.0000000000,6.0000000000,-5.0600000000,1.0300000000,-6.4600000000
535111306,8018,-2,0,0.0911111111,0.4400000000,0.3900000000,46.1250000000,20.3750000000,6.6875000000,-5.1500000000,1.4900000000,-6.9700000000
535145218,8019,-2,0,0.1166666667,0.4344444444,0.1911111111,46.1250000000,20.3750000000,6.6875000000,-5.0700000000,1.5400000000,-7.3200000000
535166487,8020,-2,0,0.0522222222,0.3833333333,-0.0166666667,46.1250000000,20.3750000000,6.6875000000,-5.4600000000,1.2000000000,-7.7500000000
535197690,8021,-2,0,0.0111111111,0.3000000000,0.0122222222,46.1875000000,21.1250000000,7.4375000000,-5.9200000000,1.2800000000,-8.3600000000
535232628,8022,-2,0,-0.0444444444,0.0555555556,0.1288888889,46.1875000000,21.1250000000,7.4375000000,-5.8200000000,1.5700000000,-9.0000000000
