timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
396025934,4019,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396049652,4020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396120906,4021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396132106,4022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396162172,4023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396177139,4024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396207108,4025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396262464,4026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396273440,4027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396307095,4028,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396340931,4029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396371128,4030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396404859,4031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396445980,4032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396526426,4033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396545005,4034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396554791,4035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396564849,4036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396591003,4037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396623436,4038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396656232,4039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396684801,4040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396720004,4041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396742596,4042,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396776950,4043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396858874,4044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396868466,4045,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396880950,4046,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396899675,4047,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396930895,4048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396962251,4049,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
396997850,4050,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397021177,4051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397046454,4052,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397110300,4053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397118791,4054,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397150103,4055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397229865,4056,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397250267,4057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397262631,4058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397276425,4059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
397305050,4060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
