timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
10879650924,17969,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879683384,17970,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879712234,17971,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879739604,17972,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879797191,17973,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879811096,17974,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879828496,17975,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879873500,17976,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879894887,17977,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879928659,17978,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879966144,17979,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10879993725,17980,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880027323,17981,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880064860,17982,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880089995,17983,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880120085,17984,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880149883,17985,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880181435,17986,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880209958,17987,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880258651,17988,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880282393,17989,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880307079,17990,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880334785,17991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880364910,17992,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880399847,17993,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880430012,17994,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880466003,17995,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880504854,17996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880542430,17997,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880558864,17998,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880587271,17999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880621038,18000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880648612,18001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880682488,18002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880713839,18003,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880743777,18004,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880777407,18005,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880808628,18006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880841011,18007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880872367,18008,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880915981,18009,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880948706,18010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880961408,18011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10880995051,18012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881015710,18013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881057292,18014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881086171,18015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881116023,18016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881145963,18017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881187261,18018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881217439,18019,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881253610,18020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881277280,18021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881304777,18022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881332331,18023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881372531,18024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881403791,18025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881424470,18026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881460186,18027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881497331,18028,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881519983,18029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881560025,18030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881585032,18031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881621273,18032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881654812,18033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881676295,18034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881707370,18035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881738531,18036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881779869,18037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881809697,18038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881828097,18039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881863640,18040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881923984,18041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881938726,18042,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881959958,18043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10881987318,18044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882026113,18045,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882059848,18046,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882088418,18047,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882117286,18048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882146195,18049,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882189928,18050,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882218211,18051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882238736,18052,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882271167,18053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882299735,18054,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882333784,18055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882388881,18056,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882396220,18057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882426223,18058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882466008,18059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882496083,18060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882527469,18061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882557287,18062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882586203,18063,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882613019,18064,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882646425,18065,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882675042,18066,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882708590,18067,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882737292,18068,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882778847,18069,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882822542,18070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882835045,18071,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882864811,18072,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882897442,18073,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882925350,18074,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882960953,18075,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10882991080,18076,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10883018219,18077,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10883054884,18078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10883115564,18079,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
