timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
10879650924,17969,-2,0,29067.9949897736,6471.8519277610,3527.3423027899,12662.2650280073,-47025.7268490031,-3999.4002687328,-52583.1520251263,-60112.1821236518,-14978.0575904401,-40600.0634983820,-54332.1732695465,-23741.3788546848,-37698.8343710102,-9545.9961946836,-17679.3349559205,-3962.0211040927
10879650924,17969,-2,0,29068.6277100084,6481.7929360653,3526.0038561394,12661.1577675964,-47026.8706125044,-4001.1402493785,-52584.2592855372,-60117.3898978920,-14979.9557511445,-40601.0612495215,-54333.4752131065,-23742.4617797020,-37700.2944946289,-9545.4364806298,-17677.8626646049,-3964.0409417653
10879650924,17969,-2,0,29067.7273004435,6477.7167576296,3523.9231799827,12659.3691161634,-47028.7201024215,-4002.6855468750,-52586.6441541145,-60120.7360145183,-14982.4379612963,-40603.2027641623,-54336.6388142805,-23743.1553384209,-37700.6838609272,-9541.8226746734,-17675.3682867562,-3964.6249912128
10879650924,17969,-2,0,29068.5060330402,6465.8654209241,3526.3202162568,12658.4443712049,-47026.8827802012,-4001.9919881561,-52587.9217622809,-60122.0622934720,-14981.2211916141,-40602.4483669593,-54336.6509819773,-23742.5469535798,-37699.7347805751,-9539.6081538516,-17676.4147086830,-3961.9724333054
10879650924,17969,-2,0,29073.4461179503,6489.9574606335,3527.8655137533,12660.3060288188,-47026.2013891792,-4000.5440322342,-52589.4427243838,-60122.8288583718,-14979.1891862446,-40600.5502062549,-54337.7460746914,-23743.7515555653,-37698.5180108928,-9538.9997690104,-17674.6625603405,-3961.3153776770
10879650924,17969,-2,0,29076.6462222148,6498.3775068350,3528.4130601104,12664.5768904037,-47024.2423899907,-3997.6359526935,-52587.1065265938,-60120.9550330611,-14976.2689390071,-40597.2284250222,-54335.8844170774,-23741.8290594672,-37696.8388687312,-9535.1426091176,-17672.7278965456,-3960.6948251390
10879650924,17969,-2,0,29075.8918250117,6478.9943657960,3532.1972138223,12664.9419213083,-47021.4924905087,-3996.6016984635,-52584.6121487451,-60119.6530895011,-14975.0521693248,-40594.4663578434,-54333.2075237764,-23740.2959296676,-37693.4684167112,-9532.5265543006,-17672.3628656410,-3959.3442107917
10879650924,17969,-2,0,29075.9526634958,6485.2850650535,3529.8488483355,12664.5890581005,-47022.1738815308,-3996.7963816127,-52583.9064223293,-60117.7427610998,-14974.0422504885,-40593.3225943421,-54331.9785863973,-23739.5780355550,-37693.0668827161,-9531.6504801294,-17672.3993687314,-3959.8674217551
10879683384,17970,-2,0,29076.6097191243,6497.9029666589,3530.5667424480,12668.1298578760,-47022.0887076530,-3995.9811459256,-52581.9109200504,-60118.0347858236,-14975.1495108994,-40593.9309791832,-54331.6135554926,-23739.2616754376,-37693.4197459239,-9532.0885172150,-17671.0730897777,-3959.1738630362
10879683384,17970,-2,0,29073.6529687963,6484.0926307649,3528.4130601104,12664.6498965846,-47021.1761303913,-3995.5796119304,-52582.3611248328,-60118.0104504300,-14975.3198586549,-40593.9188114864,-54332.1854372433,-23739.4441908899,-37694.1254723397,-9535.7631616555,-17672.4480395187,-3958.4681366204
