timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
560729874506,29660,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
560729907033,29661,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
560729954515,29662,-2,0,0.0011111111,0.0055555556,-0.0077777778,0.0000000000,0.0000000000,0.0000000000,-1.8700000000,0.3300000000,-9.2500000000
560729971932,29663,-2,0,0.0066666667,0.0011111111,-0.0100000000,0.0000000000,0.0000000000,0.0000000000,-1.8200000000,0.3400000000,-9.2200000000
560730006728,29664,-2,0,0.0088888889,0.0000000000,-0.0022222222,35.1250000000,4.8125000000,20.1250000000,-1.8400000000,0.3600000000,-9.2400000000
560730030667,29665,-2,0,0.0066666667,0.0000000000,-0.0022222222,35.1250000000,4.8125000000,20.1250000000,-1.9300000000,0.3400000000,-9.2100000000
560730062127,29666,-2,0,0.0022222222,-0.0011111111,-0.0066666667,35.1250000000,4.8125000000,20.1250000000,-1.8500000000,0.3800000000,-9.2300000000
560730094391,29667,-2,0,0.0000000000,-0.0022222222,-0.0055555556,35.1250000000,4.8125000000,20.1250000000,-1.8700000000,0.3500000000,-9.2200000000
560730153157,29668,-2,0,-0.0011111111,-0.0044444444,-0.0033333333,35.9375000000,5.9375000000,20.1250000000,-1.9400000000,0.3700000000,-9.2300000000
560730158859,29669,-2,0,-0.0011111111,-0.0033333333,-0.0077777778,35.9375000000,5.9375000000,20.1250000000,-1.8700000000,0.3400000000,-9.2100000000
560730182225,29670,-2,0,-0.0011111111,0.0000000000,-0.0022222222,35.9375000000,5.9375000000,20.1250000000,-1.8300000000,0.3400000000,-9.2300000000
560730222492,29671,-2,0,-0.0044444444,-0.0022222222,-0.0033333333,33.9375000000,5.1875000000,21.2500000000,-1.9400000000,0.3400000000,-9.1800000000
560730244730,29672,-2,0,-0.0011111111,0.0033333333,0.0000000000,33.9375000000,5.1875000000,21.2500000000,-1.9000000000,0.3400000000,-9.1900000000
560730279790,29673,-2,0,-0.0100000000,0.0066666667,-0.0133333333,33.9375000000,5.1875000000,21.2500000000,-1.8300000000,0.3200000000,-9.2100000000
560730318538,29674,-2,0,0.0044444444,0.0033333333,0.0144444444,33.9375000000,4.8125000000,21.2500000000,-1.8500000000,0.4000000000,-9.2000000000
560730342082,29675,-2,0,0.0000000000,0.0044444444,-0.0400000000,33.9375000000,4.8125000000,21.2500000000,-1.8500000000,0.3000000000,-9.3500000000
560730373127,29676,-2,0,-0.0200000000,-0.0222222222,0.0022222222,33.9375000000,4.8125000000,21.2500000000,-1.8100000000,0.2900000000,-9.2500000000
560730405627,29677,-2,0,-0.0066666667,-0.0222222222,0.0044444444,33.9375000000,5.1875000000,22.0000000000,-1.8300000000,0.3800000000,-9.1800000000
560730435699,29678,-2,0,0.0022222222,0.0000000000,-0.0144444444,33.9375000000,5.1875000000,22.0000000000,-1.8500000000,0.2500000000,-9.1100000000
