timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
560785661712,31114,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785669082,31115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785699382,31116,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785730482,31117,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785760499,31118,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785794258,31119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785825739,31120,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785863232,31121,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785892912,31122,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560785917934,31123,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786018396,31124,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786019255,31125,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786028000,31126,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786059455,31127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786075631,31128,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786105599,31129,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786136806,31130,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786166843,31131,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786199573,31132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786230487,31133,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786284266,31134,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786305554,31135,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786328120,31136,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786382172,31137,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786389444,31138,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786432003,31139,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786445961,31140,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786485382,31141,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786516889,31142,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560786545403,31143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
