timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
-507251281301,15287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251251480,15288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251208958,15289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251173910,15290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251152236,15291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251128756,15292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251048444,15293,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251022635,15294,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507251015197,15295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250974063,15296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250964238,15297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250926340,15298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250905088,15299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250871309,15300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250840315,15301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250811462,15302,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250777685,15303,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250723461,15304,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250677353,15305,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250663739,15306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250650007,15307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250623723,15308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250567553,15309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250561280,15310,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250532588,15311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250498819,15312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250466379,15313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250432650,15314,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250405124,15315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250325240,15316,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250287403,15317,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250277408,15318,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250263605,15319,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250241306,15320,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250200653,15321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250178739,15322,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250158747,15323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250122206,15324,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250097301,15325,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250062610,15326,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507250032481,15327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249928387,15328,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249898591,15329,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249892324,15330,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249883609,15331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249862391,15332,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249837704,15333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249810183,15334,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249773994,15335,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249738964,15336,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249721382,15337,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249681311,15338,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-507249652720,15339,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
