timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
2205047309,6824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205073631,6825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205098438,6826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205130041,6827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205160960,6828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205234731,6829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205244758,6830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205252117,6831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205284709,6832,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205339795,6833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205351433,6834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205383397,6835,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205418397,6836,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205444605,6837,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205475963,6838,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205505513,6839,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205537389,6840,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205621360,6841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205633867,6842,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205642614,6843,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205682676,6844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205698517,6845,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205737374,6846,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205759733,6847,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205792171,6848,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205820927,6849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205862343,6850,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205875455,6851,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205906629,6852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205984726,6853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2205988543,6854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206036143,6855,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206063475,6856,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206071076,6857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206099734,6858,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206129799,6859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206164724,6860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206193509,6861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206245249,6862,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2206258561,6863,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
