timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
2205047309,6824,-2,0,-28819.5914591333,-38249.9823663021,-42579.1393866335,-33123.6343532221,-69773.1143825249,-47807.7568915104,-85982.6889038086,-75593.5199900824,-88138.8412839244,-75836.4358894556,-72964.8594392413,-85916.4479623045,-73867.6538727163,-82161.8130828620,-80829.5354546276,-47975.1843997941
2205047309,6824,-2,0,-28819.9808254316,-38245.5898277491,-42589.4210904489,-33126.7736190024,-69787.5817740474,-47845.8782856566,-85989.5758202104,-75603.6313461423,-88143.2216547806,-75859.1408117272,-72972.7806098730,-85926.7174984231,-73880.7463144978,-82167.8969312735,-80834.9257443202,-47978.9442181123
2205047309,6824,-2,0,-28819.6036268301,-38243.3388038368,-42597.0137332664,-33123.7438624935,-69795.2717584395,-47865.8333084463,-85997.1806307247,-75616.1032353858,-88149.3176708889,-75868.3274228285,-72977.1244776388,-85934.6265013580,-73888.0712679852,-82179.5900879203,-80841.2894497586,-47980.7085341517
2205047309,6824,-2,0,-28821.5017875345,-38247.9868640232,-42600.1773344404,-33126.2990788263,-69779.3442432983,-47847.5209247277,-85994.8687683284,-75619.0964888042,-88153.6615386547,-75856.4517507293,-72976.8324529151,-85933.7869302772,-73881.9630841801,-82185.0777191875,-80841.0825989126,-47978.7738703568
2205047309,6824,-2,0,-28823.7406437499,-38252.1603840334,-42594.9208894128,-33125.7758678629,-69764.7795102012,-47801.9894032163,-85982.9444254419,-75604.3005694675,-88152.2014150360,-75836.5940695143,-72961.6349995832,-85917.3970426567,-73869.6493749952,-82181.8167764389,-80836.2033524866,-47975.0870582195
2205047309,6824,-2,0,-28825.3832828210,-38258.9864619511,-42594.2516660876,-33128.3432518926,-69762.9786910714,-47803.8267254366,-85983.2972886497,-75609.0581389253,-88157.2510092175,-75842.9942780432,-72961.7201734610,-85919.3682095420,-73872.8738146533,-82186.5013397157,-80839.1114320273,-47975.9631323907
2205047309,6824,-2,0,-28820.8325642092,-38258.2320647481,-42594.3368399653,-33127.6496931737,-69779.6484357188,-47857.9243055114,-85996.9859475756,-75636.5936368356,-88162.3249387927,-75870.6027821344,-72978.6211043480,-85938.1186303462,-73882.1577673292,-82196.2720002646,-80851.2791288502,-47978.6156902981
2205047309,6824,-2,0,-28814.3228464089,-38254.1680540092,-42593.6797843369,-33123.4153346793,-69783.8706265164,-47879.9235013672,-85999.6506731798,-75650.9880221771,-88163.8824039860,-75882.3689449622,-72981.0181406222,-85939.1772199698,-73879.1158431235,-82201.6136191698,-80854.1020345131,-47980.6233602739
2205073631,6825,-2,0,-28808.4093457530,-38247.3054730011,-42587.8392898619,-33121.1278076766,-69772.4694945933,-47851.3050784397,-85989.8800126310,-75641.0956846601,-88160.4876165724,-75866.5387713956,-72972.4520820588,-85931.5602417586,-73866.0720721293,-82200.1899986416,-80852.7392524690,-47979.5526029535
2205073631,6825,-2,0,-28808.6770350831,-38245.6628339300,-42580.4291624967,-33123.5005085570,-69761.7375859954,-47815.4468759025,-85980.4865506837,-75624.5962877682,-88151.7512102535,-75838.0055223458,-72966.4047367378,-85925.1235301393,-73856.0823930377,-82202.0151531650,-80849.8798437156,-47974.9897166449
2205073631,6825,-2,0,-28805.3430861536,-38241.1972891960,-42572.1794640508,-33117.1854739059,-69760.1436177116,-47801.1254967419,-85974.5852177245,-75613.6696960212,-88142.7836176950,-75820.5327097080,-72957.6561627221,-85914.1969383923,-73855.3766666219,-82198.5595272673,-80846.9352610844,-47968.3461541796
2205073631,6825,-2,0,-28804.1506518650,-38238.4473897140,-42576.8883627212,-33109.2643032742,-69777.3852441098,-47835.8034326873,-85978.8560793094,-75621.1649972641,-88141.4208356508,-75833.6494868832,-72962.7909307814,-85919.7089050530,-73866.9724816942,-82194.6536965871,-80850.8654271582,-47968.0906325463
2205073631,6825,-2,0,-28812.4855241887,-38242.9494375385,-42589.1168980283,-33109.1426263060,-69793.3005915542,-47882.5395561842,-85993.0679491986,-75641.8379141663,-88145.1563185755,-75852.0713798731,-72972.9509576285,-85930.3556397731,-73875.1856770497,-82188.5820158725,-80852.7270847721,-47967.0320429227
2205073631,6825,-2,0,-28816.5373672307,-38246.8309328250,-42590.4675123757,-33109.7145080566,-69777.3365733225,-47863.1199120548,-85981.6546495786,-75635.7662334516,-88138.4275822324,-75845.5981651633,-72962.1460428498,-85916.9833409647,-73862.1662414491,-82176.0857912353,-80842.7739087710,-47959.0743692005
2205073631,6825,-2,0,-28805.2944153663,-38237.8390048728,-42573.6760907600,-33107.1957948143,-69750.2512801946,-47808.8154811340,-85965.5202835914,-75614.8256272194,-88132.3559015178,-75822.2726903537,-72946.2671984958,-85901.0801612171,-73847.4798313839,-82171.7540911663,-80833.2831052491,-47955.2293770044
2205073631,6825,-2,0,-28796.5945121379,-38234.3468758847,-42563.9906040889,-33110.2498867169,-69750.0809324391,-47806.3819417694,-85974.4148699690,-75622.1992514941,-88134.3270684031,-75819.2916046321,-72956.7679208540,-85910.9603310373,-73854.6831079030,-82186.2579857793,-80842.0073438711,-47958.1252888483
2205098438,6826,-2,0,-28791.9707873452,-38232.9597584468,-42564.8788459570,-33113.4621586781,-69758.5253140342,-47837.9084442376,-85986.3027097650,-75641.1200200537,-88140.5812645701,-75834.9149273527,-72972.0383803668,-85926.5593183644,-73870.0144058999,-82204.1810031995,-80854.1385376036,-47966.8738628640
2205098438,6826,-2,0,-28789.4520741029,-38234.7484098798,-42573.1285444030,-33117.7816910503,-69785.3429178320,-47868.1816739331,-85998.1175433801,-75661.2697259925,-88149.6583664000,-75850.6112562543,-72983.4030091995,-85937.7779348351,-73883.2771954370,-82218.5632208442,-80862.6437576828,-47976.7662003810
2205098438,6826,-2,0,-28786.6170007431,-38230.8547468965,-42574.5278295376,-33120.1300565371,-69781.4735902423,-47874.9712487603,-86008.2532348336,-75670.3346601256,-88153.0044830263,-75850.0393745036,-72985.9947286227,-85939.9924556569,-73880.7463144978,-82220.3762076708,-80861.5973357561,-47977.9829700633
2205098438,6826,-2,0,-28778.8540101701,-38221.9966636094,-42561.1433630324,-33115.8348595586,-69750.8961681262,-47823.5383942897,-85988.5415659804,-75644.4174658928,-88141.1044755335,-75824.8400743833,-72967.2564755154,-85921.0838547940,-73859.2703296053,-82204.5703694978,-80842.4575486536,-47968.2974833923
2205098438,6826,-2,0,-28763.1941843589,-38208.2958369867,-42544.0112459057,-33100.6495739235,-69728.0452334927,-47786.1470619528,-85970.4482008047,-75616.6751171364,-88131.7718520703,-75811.0540738829,-72949.0657687651,-85903.6718806404,-73846.4699125475,-82189.1904007136,-80830.1925102560,-47956.0324449947
2205098438,6826,-2,0,-28748.3130911445,-38198.5130087411,-42534.9828148630,-33087.3016105088,-69739.7748932300,-47819.2797004017,-85975.1449317784,-75623.1970026335,-88133.5970065937,-75827.5656384717,-72958.7999262235,-85915.1825218349,-73857.9683860452,-82186.4039981412,-80834.3781979631,-47957.5290717040
2205098438,6826,-2,0,-28742.6186090314,-38196.4688356748,-42536.6619570246,-33082.8969042589,-69758.5739848215,-47856.1234863816,-85983.0174316228,-75641.6675664108,-88139.8268673671,-75845.5373266792,-72967.2808109091,-85926.8391753913,-73866.6682892736,-82189.3242453787,-80843.9906784533,-47962.5786658855
2205098438,6826,-2,0,-28745.1981607578,-38201.4819267659,-42542.8309793138,-33087.4962936579,-69757.6857429534,-47840.2203066340,-85978.9534208840,-75639.2096916525,-88139.8390350639,-75837.9446838616,-72960.7832608056,-85918.1271044661,-73855.2549896537,-82183.1430553926,-80836.3980356357,-47961.2158838413
2205130041,6827,-2,0,-28749.3230099808,-38203.1002304433,-42542.2712652600,-33093.5193035853,-69747.3432006539,-47800.2859256611,-85971.4946227315,-75623.5742012351,-88138.3302406578,-75817.1014192039,-72953.5556488928,-85912.0797591451,-73851.4830036386,-82184.6883528891,-80837.6634761053,-47963.3208953917
2205130041,6827,-2,0,-28753.8737285926,-38205.7649560476,-42539.8863966827,-33100.1872014443,-69741.7095570249,-47773.3588125919,-85967.7469721100,-75613.0978142705,-88137.7705266040,-75804.0819836034,-72948.8224148287,-85906.2757677605,-73846.6645956967,-82185.3089054271,-80830.9104043686,-47961.1307099636
2205130041,6827,-2,0,-28753.0828282991,-38202.8690442037,-42538.0125713719,-33097.3642957814,-69749.0588459060,-47780.9636231062,-85969.2435988192,-75608.8147849888,-88134.2418945253,-75808.9125592421,-72949.0657687651,-85906.6407986652,-73850.6312648610,-82188.0953079996,-80830.0586655910,-47962.1771318903
2205130041,6827,-2,0,-28750.6492889345,-38199.9609646630,-42540.4947815238,-33091.7428198492,-69765.7772613407,-47822.5771462407,-85979.9146689330,-75617.5268559141,-88136.6632661931,-75828.7824081540,-72959.2866340964,-85919.3195387547,-73859.5380189354,-82191.9646355892,-80836.8604081150,-47962.9558644870
2205130041,6827,-2,0,-28749.4811900395,-38195.8117800464,-42540.7259677635,-33087.7761506849,-69755.6415698872,-47823.3558788374,-85973.8429882183,-75611.5038459867,-88138.1355575087,-75830.9969289757,-72958.4835661061,-85917.4822165345,-73849.6456814183,-82188.5698481756,-80837.8946623450,-47965.2920622770
2205130041,6827,-2,0,-28749.8827240346,-38192.1614709995,-42536.7227955087,-33085.9874992519,-69738.9839929366,-47776.1573828612,-85961.7604652731,-75588.8354268056,-88132.9399509653,-75811.8814772669,-72938.6380525878,-85895.9818962483,-73835.1661221990,-82170.7076692396,-80819.8378002597,-47954.0247750190
2205130041,6827,-2,0,-28746.1472411100,-38184.8730206026,-42528.2784139136,-33081.9599916035,-69723.2146578540,-47748.1960155621,-85952.6468603528,-75569.8781551554,-88127.8781890869,-75798.6673585172,-72932.2135086653,-85888.2432410689,-73827.5734793815,-82165.9135966913,-80817.9031364649,-47950.7273291799
2205130041,6827,-2,0,-28745.0764837896,-38186.1871318594,-42528.7286186960,-33082.3250225082,-69734.8834791072,-47777.9582019910,-85961.3102604907,-75580.9385915675,-88131.7961874639,-75811.0297384893,-72942.1423492728,-85901.1409997012,-73845.6181737699,-82171.9244389219,-80825.2889284364,-47952.2482912828
2205160960,6828,-2,0,-28750.2477549393,-38192.2466448773,-42539.7403843208,-33087.8491568658,-69755.0453527428,-47819.4743835509,-85974.9867517197,-75604.4709172230,-88140.4109168146,-75834.1118593624,-72956.0986975288,-85916.7643224219,-73863.9183897917,-82176.5603314114,-80833.1249251904,-47959.5610770734
2205160960,6828,-2,0,-28754.7619704606,-38199.4499213965,-42547.9535796763,-33097.7658297765,-69763.6600820935,-47842.5321690303,-85987.3491316918,-75623.0631579685,-88147.4803486687,-75844.6855879015,-72967.8283572661,-85928.3966405846,-73872.5817899296,-82180.4539943947,-80840.5837233428,-47964.7931867073
2205160960,6828,-2,0,-28756.1369202016,-38203.6112737099,-42545.1428417102,-33100.8807601632,-69750.6528141898,-47818.1846076876,-85983.8448350068,-75620.0212337627,-88143.9273811964,-75828.8554143349,-72962.2312167275,-85921.3637118210,-73861.1198195224,-82180.5391682725,-80836.2033524866,-47961.7512625015
2205160960,6828,-2,0,-28757.6335469109,-38204.2439939447,-42538.3897699735,-33101.3431326425,-69731.8537225983,-47780.1727228128,-85970.8132317094,-75602.5362534282,-88138.8412839244,-75808.8760561516,-72950.5258923839,-85907.0545003572,-73847.9543715599,-82180.8920314804,-80830.5088703735,-47958.0522826673
2205160960,6828,-2,0,-28763.0238366034,-38208.4783524391,-42542.8066439202,-33106.6482484573,-69749.9714231677,-47810.5432940828,-85982.1413574516,-75615.9815584175,-88145.5700202675,-75821.3722807888,-72965.7355134125,-85923.0793570730,-73859.3920065735,-82192.2566603130,-80837.2497744134,-47961.2280515381
