timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
534775049,8007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
534798724,8008,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
534825025,8009,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
534857477,8010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
534896320,8011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
534927449,8012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
534961469,8013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535043761,8014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535051378,8015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535062485,8016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535077712,8017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535111306,8018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535145218,8019,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535166487,8020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535197690,8021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535232628,8022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535272637,8023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535291353,8024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535393016,8025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535421721,8026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535427674,8027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535464260,8028,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535480412,8029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535489073,8030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535510431,8031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535541768,8032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535579008,8033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535608842,8034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535640315,8035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535675376,8036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535704180,8037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535778084,8038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535783887,8039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535796783,8040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535829119,8041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535861846,8042,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535886937,8043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
535943253,8044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
