timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
132086933767,9491,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132086969913,9492,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132086981239,9493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132086999632,9494,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087033112,9495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087066640,9496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087133734,9497,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087141234,9498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087160409,9499,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087191444,9500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087220296,9501,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087253121,9502,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087298510,9503,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087319191,9504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087349109,9505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087389179,9506,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087406054,9507,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087435028,9508,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087496477,9509,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087506488,9510,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087530060,9511,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087562401,9512,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087617500,9513,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087622901,9514,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087657544,9515,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087687553,9516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087719201,9517,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087751316,9518,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087780812,9519,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087880118,9520,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087889901,9521,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087897510,9522,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087906186,9523,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087939929,9524,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087968808,9525,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132087998742,9526,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088037634,9527,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088061120,9528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088112725,9529,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088126189,9530,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088156267,9531,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088250231,9532,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088260026,9533,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088268779,9534,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088285359,9535,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088318673,9536,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088347368,9537,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088377627,9538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088405270,9539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088438857,9540,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088473907,9541,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088506742,9542,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088535115,9543,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088614240,9544,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088622334,9545,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088631203,9546,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088678613,9547,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088688649,9548,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088719927,9549,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088751315,9550,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088785014,9551,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088813856,9552,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088846195,9553,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088899848,9554,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088938608,9555,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088985116,9556,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132088994904,9557,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132089001759,9558,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132089038702,9559,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132089081390,9560,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132089093891,9561,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132089127594,9562,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132089158698,9563,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
