timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
561575809423,46986,-2,0,8496.6296852795,11130.2303210307,14376.5109949075,2744.2658383559,-5206.3871227814,-2280.1533784384,-5048.4139149291,-20488.7953138537,-7479.0086968864,-2088.4878180834,-4650.5545642125,1365.0087326881,-21003.3307094054,11555.9780328654,13911.1939330045,19231.2273441122
561575809423,46986,-2,0,8499.0023861599,11133.1749036618,14372.7146734987,2740.2018276170,-5199.6340510446,-2284.8866125025,-5048.5599272910,-20483.1860056183,-7470.9171784991,-2082.1484480387,-4655.4094752449,1373.9884929434,-20995.0323401722,11566.3084074681,13923.5076421894,19242.8474945781
561575809423,46986,-2,0,8505.5972778380,11137.3849267626,14369.3320537819,2744.3631799305,-5192.6254576746,-2280.2385523162,-5043.5346685031,-20478.1607468304,-7463.8599143418,-2077.0380153730,-4651.9295139535,1379.0502548218,-20990.5424600445,11569.6423563976,13926.8172557252,19247.4347162803
561575809423,46986,-2,0,8507.3250907868,11142.4345209441,14377.9832862231,2750.5808730070,-5194.7304692250,-2271.6238229655,-5039.3124777055,-20481.0444909775,-7467.9117573838,-2076.8068291334,-4643.8744986568,1373.1732572563,-20996.8088239084,11561.9523720055,13919.5531407219,19242.3851220988
561575809423,46986,-2,0,8505.3904269920,11140.9013911444,14386.2086492754,2753.2942693985,-5201.0576715729,-2271.0154381244,-5040.7847690211,-20488.0895874380,-7474.3363013063,-2081.4183862293,-4641.4896300795,1365.2642543214,-21003.0873554690,11555.6616727480,13911.9483302076,19235.1331747923
561575809423,46986,-2,0,8500.4746774755,11135.1460705471,14379.6745960814,2748.5123645471,-5205.7544025466,-2279.3138073576,-5046.9294559167,-20491.7520641817,-7479.0573676736,-2085.6770801173,-4650.5910673030,1362.1736593284,-21003.9877650339,11553.6053319849,13909.8554863540,19231.0083255694
561575809423,46986,-2,0,8497.8707903554,11130.0964763656,14369.0156936646,2739.0093933284,-5207.2023584685,-2290.7514423712,-5055.5320175705,-20492.8106538053,-7478.4611505293,-2086.5409865917,-4664.9246141604,1362.5508579299,-21001.4203810042,11554.5909154276,13910.3178588333,19231.4463626550
561575809423,46986,-2,0,8494.8532015433,11128.8553712897,14360.8511690964,2734.8115379244,-5206.5939736274,-2294.9127946846,-5057.0651473702,-20491.2775240056,-7475.6382448664,-2085.2877138190,-4667.2851473441,1363.8649691867,-20999.7655742363,11557.8396904793,13912.7757335915,19234.5369576480
561575818279,46987,-2,0,8495.2547355385,11130.3033272116,14364.2581242068,2738.7295363014,-5207.9445879747,-2287.5635058036,-5053.9015461963,-20490.9854992818,-7478.9843614927,-2087.5022346408,-4658.0620331523,1362.8550503504,-21005.0828577480,11556.7689331589,13911.1939330045,19231.0204932662
561575818279,46987,-2,0,8492.8820346580,11132.9193820285,14373.2987229462,2743.6209504243,-5215.5615661859,-2285.2638111040,-5053.9380492867,-20495.9012487983,-7486.0172902564,-2092.0651209494,-4651.5766507457,1356.6130218803,-21014.3668104239,11549.3588057937,13904.1975073313,19226.7861347718
561575818279,46987,-2,0,8489.1708871270,11130.4250041798,14371.9237732052,2739.5569396854,-5219.9662724358,-2290.7879454616,-5058.2575816589,-20498.2739496788,-7490.2516487508,-2096.1291316882,-4657.3563067366,1354.6296872981,-21017.6764239597,11544.8689256661,13902.9564022554,19224.0362352898
561575818279,46987,-2,0,8492.3588236946,11131.0577244146,14366.8741790237,2736.3811708146,-5212.0816048945,-2295.0101362592,-5057.3693397908,-20491.4235363675,-7482.5738320555,-2090.8970220544,-4662.2842239499,1364.0231492454,-21007.0175215428,11553.2768041707,13912.6783920169,19233.2715171784
561575818279,46987,-2,0,8500.7545345024,11134.8540458234,14369.3077183883,2739.7272874409,-5202.8463230059,-2290.9582932172,-5053.1958197805,-20481.9205651487,-7472.8518422939,-2082.9150129385,-4659.6438337393,1373.7816420974,-20996.7601531211,11564.0208804654,13921.3174567612,19242.8961653654
561575818279,46987,-2,0,8501.3020808595,11137.1294051293,14374.1261263302,2742.9638947958,-5204.6349744389,-2284.1078799058,-5049.3386598876,-20481.1783356425,-7473.8739288271,-2083.4260562051,-4649.9096762809,1371.6036243661,-20997.1981902067,11561.7941919468,13917.2291106287,19242.5554698543
561575818279,46987,-2,0,8495.7414434114,11134.5133503123,14375.3063929220,2742.4771869229,-5213.5052254228,-2282.2827253824,-5050.6406034477,-20488.4546183427,-7483.5715831950,-2090.6901712084,-4647.6708200655,1361.6382806681,-21005.9467642224,11555.0897909973,13907.0690837816,19232.4562814913
561575818279,46987,-2,0,8488.4773284081,11128.6241850500,14371.8872701148,2738.1819899444,-5219.8810985580,-2289.7050204444,-5057.2719982162,-20495.0616777175,-7490.7748597141,-2097.4067398546,-4655.4824814258,1355.6031030440,-21009.9256010835,11547.4849804830,13900.6932106463,19227.4796934907
561575845871,46988,-2,0,8485.4597395960,11124.0126279541,14364.1364472386,2730.0661361635,-5218.2141240933,-2297.9912219808,-5063.3680143245,-20495.0738454143,-7486.5891720070,-2096.9321996785,-4668.0517122439,1356.0898109169,-21005.1923670194,11550.0036937253,13903.0659115268,19230.1930898822
561575845871,46988,-2,0,8490.3268183252,11125.0955529714,14358.1134373112,2727.6812675862,-5208.2487803953,-2297.8817127094,-5061.4698536201,-20489.6713880250,-7477.0740330915,-2090.9091897512,-4669.1589726548,1363.4147644043,-20997.0643455416,11557.2556410318,13909.1375922415,19234.1962621370
561575845871,46988,-2,0,8494.4394998513,11130.4858426640,14363.7714163339,2732.5240109217,-5204.0509249914,-2287.9163690114,-5055.5441852673,-20487.3473579318,-7474.3119659127,-2087.4900669439,-4658.5609087220,1363.9501430645,-20996.7114823338,11558.0100382348,13910.5733804666,19233.4905357212
561575845871,46988,-2,0,8490.7283523203,11128.5755142628,14370.9260220658,2735.9309660322,-5209.7940778918,-2282.7450978617,-5053.1836520837,-20492.0197535118,-7478.9235230086,-2088.9866936532,-4649.7149931318,1358.4260087069,-21006.6281552445,11550.4538985078,13904.7815567788,19228.2340906937
561575845871,46988,-2,0,8488.0879621098,11126.2514841696,14369.9161032294,2733.6191036358,-5212.7873313102,-2285.4098234659,-5054.9114650326,-20496.3271181871,-7482.8901921729,-2093.7929338982,-4653.0854451517,1356.3331648533,-21009.3293839392,11548.7260855589,13899.9631488370,19220.4224293334
561575845871,46988,-2,0,8484.4741561533,11121.8224425260,14361.6177339962,2727.0485473514,-5212.0207664104,-2294.3165775403,-5060.7276241139,-20497.0815153901,-7481.3205592827,-2093.5495799618,-4664.7420987081,1357.3917544769,-21003.6714049165,11551.1961280140,13906.7162205737,19226.6036193195
561575845871,46988,-2,0,8489.1465517334,11123.7571063209,14358.1621080985,2726.0386285151,-5206.9225014416,-2296.6284399367,-5060.8979718694,-20491.5817164262,-7473.7157487684,-2087.2467130075,-4666.3482346887,1364.7532110548,-20997.1008486321,11561.3439871643,13916.1583533083,19239.9759181279
561575845871,46988,-2,0,8499.5621002138,11133.3330837205,14368.3951411266,2737.2572449859,-5201.5200440522,-2289.3034864492,-5053.0741428123,-20486.7633084843,-7470.7103276531,-2082.9636837258,-4657.7578407317,1367.1867504194,-20995.7380665879,11565.0186316049,13919.9060039298,19240.1706012770
561575870429,46989,-2,0,8500.9857207421,11136.0464801120,14377.3870690787,2742.3311745610,-5204.5741359547,-2281.4188189080,-5050.5919326604,-20490.7178099517,-7475.1637046903,-2086.5774896822,-4648.2305341194,1362.0276469665,-21000.0089281728,11558.7522677410,13911.8266532393,19233.2593494816
