timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
560785661712,31114,-2,0,4137.0047521035,6465.8532532273,12256.6913575050,-832.0392764496,-8490.0469612982,-5823.0338300712,-8704.2592638661,-22048.9495681881,-11364.8356834738,-4626.2435059603,-6667.0826232851,-2073.6188925658,-24103.7328660720,6923.6750138873,9322.1714116256,15075.2531526618
560785661712,31114,-2,0,4134.3156911056,6461.1443545568,12251.2280616315,-838.7193420054,-8490.6431784426,-5836.0045948845,-8708.5787962383,-22050.0811639927,-11363.9839446962,-4627.9348158187,-6678.3377428463,-2074.1664389228,-24100.4962587171,6926.2545656137,9323.5706967602,15076.4212515568
560785661712,31114,-2,0,4134.4008649833,6462.0934349090,12242.9053570046,-839.9969501718,-8486.2993106768,-5840.9325120978,-8705.9992445118,-22044.5570296351,-11358.9830213020,-4626.5963691682,-6677.8145318829,-2068.0095843304,-24095.1303044182,6930.3672471399,9328.3891047021,15080.2662437528
560785661712,31114,-2,0,4137.6618077319,6467.4228861174,12247.2613924672,-833.6697478239,-8484.1577960359,-5830.5412990110,-8699.5747005893,-22042.0748194832,-11356.9996867198,-4622.9947309086,-6666.2673875979,-2066.8658208290,-24097.5273406923,6929.3573283036,9328.8879802719,15080.8867962908
560785661712,31114,-2,0,4137.8686585779,6469.9294316629,12256.4845066590,-827.3668808696,-8485.0338702072,-5817.7287142564,-8696.8734718946,-22042.1113225737,-11360.5526541921,-4621.0113963264,-6656.1195284476,-2068.1799320859,-24104.7062818178,6924.4537464839,9326.3936024232,15077.8083689946
560785661712,31114,-2,0,4136.3476964750,6465.9749301955,12255.8274510306,-829.3623831485,-8488.3799868335,-5818.5074468531,-8699.0028188386,-22042.8657197767,-11364.2029632390,-4622.5566938230,-6660.0010237341,-2068.7153107461,-24108.6607832853,6920.6330896815,9325.1159942568,15076.0927237425
560785661712,31114,-2,0,4133.2327660883,6461.4972177647,12245.9594489072,-837.5025723231,-8488.2339744716,-5831.3808700918,-8703.8212267805,-22044.6665389065,-11362.9983612536,-4624.9902331875,-6670.6720938478,-2068.3259444478,-24107.2128273634,6922.6407596573,9326.4301055136,15080.0593929068
560785661712,31114,-2,0,4130.1421710953,6456.3381143117,12238.9021847499,-845.8131092532,-8486.4574907355,-5839.8617547774,-8705.6828843944,-22044.3015080018,-11357.4742268959,-4623.5057741751,-6674.5170860439,-2065.2353494548,-24101.2871590106,6927.7025215357,9330.3602715874,15086.7637938563
560785669082,31115,-2,0,4130.4828666064,6456.6301390355,12240.6543330924,-844.6206749645,-8486.5548323101,-5833.2060246152,-8705.5490397294,-22045.6642900460,-11358.6909965782,-4623.2380848450,-6669.1754671386,-2067.4498702765,-24101.7130283994,6928.1648940149,9328.7906386973,15085.8512165945
560785669082,31115,-2,0,4130.2760157604,6455.9365803166,12248.0279573671,-841.3597322160,-8490.3754891125,-5822.9364884967,-8706.4494492943,-22049.5701207261,-11364.6288326278,-4626.0366551143,-6664.1258729571,-2072.5968060326,-24106.5436040381,6923.3343183762,9323.1934981587,15081.1058148336
560785669082,31115,-2,0,4129.5094508605,6455.8514064388,12249.7679380127,-841.2745583382,-8494.5368414259,-5821.9265696604,-8709.1871810794,-22052.9649081397,-11368.1087939192,-4626.6693753491,-6666.5472446249,-2076.4052951382,-24107.4683489966,6922.4947472955,9321.0398158211,15081.5195165256
560785669082,31115,-2,0,4131.0425806602,6458.0172564733,12248.3564851813,-842.2844771745,-8490.9352031663,-5830.7724852506,-8709.8077336174,-22050.0568285990,-11363.1565413123,-4625.5864503319,-6672.9596208506,-2069.9442481252,-24100.2650724775,6928.8462850370,9327.6103721055,15087.9440604481
560785669082,31115,-2,0,4134.7415604944,6461.2295284345,12242.3456429507,-842.1993032968,-8481.9797783046,-5835.2380299846,-8705.4516981548,-22042.6101981434,-11353.0330175556,-4620.7193716027,-6671.9375343174,-2062.0717482808,-24089.4966607892,6938.9819764905,9337.1011756274,15097.0941684589
560785669082,31115,-2,0,4136.6397211988,6462.4097950264,12245.3753994597,-839.8387701131,-8477.8427613848,-5826.8788222673,-8698.7838002958,-22040.3470065343,-11347.0465107187,-4614.6598585849,-6661.3638057783,-2058.7743024418,-24085.8706871359,6940.6002801680,9341.5788880582,15099.5885463076
560785669082,31115,-2,0,4134.8997405531,6462.4584658137,12255.6936063655,-833.5845739461,-8477.1857057564,-5813.7255420017,-8694.7927957379,-22041.4177638547,-11349.1271868754,-4613.2362380566,-6653.3087904815,-2062.6071269410,-24087.2578045737,6937.1689896639,9339.8024043221,15094.5511198229
560785669082,31115,-2,0,4129.1444199558,6459.1975230651,12252.9802099740,-835.5435731346,-8486.2628075863,-5816.7918016011,-8703.2736804235,-22049.4484437579,-11359.2385429353,-4622.4228491579,-6662.9456063653,-2071.5747194995,-24095.3371552642,6929.1018066703,9331.5892089666,15084.6587823059
560785699382,31116,-2,0,4126.1755019310,6458.4674612557,12244.9738654645,-843.3552344949,-8496.6053498858,-5838.3894634618,-8717.6924011587,-22059.4624582432,-11369.3864020856,-4634.3958628317,-6682.6329398248,-2081.7104109530,-24101.5670160375,6922.9327843811,9323.5098582761,15078.3194122611
560785699382,31116,-2,0,4127.9398179704,6458.1267657447,12234.5096461968,-849.3174059382,-8500.3043297200,-5855.3999036203,-8723.2043678195,-22059.4989613336,-11370.4328240124,-4638.7884013848,-6692.1115756499,-2080.7491629040,-24101.8955438517,6923.4438276476,9323.7410445158,15078.8547909213
560785699382,31116,-2,0,4128.0128241513,6459.2705292461,12231.2973742355,-850.7775295569,-8498.2966597442,-5853.0515381334,-8719.5783941662,-22058.7688995243,-11367.9506138605,-4639.5427985878,-6684.7014482847,-2078.6198159600,-24101.0924758614,6925.2933175647,9326.7221302374,15080.8381255035
560785699382,31116,-2,0,4126.9907376182,6459.9519202681,12239.0238617181,-845.7157676786,-8499.4890940329,-5838.7301589728,-8714.7599862243,-22058.2091854704,-11368.7415141540,-4637.9853333944,-6673.2029747870,-2079.5810640090,-24104.4020893973,6922.6894304446,9324.1547462077,15078.3194122611
560785699382,31116,-2,0,4122.4400190064,6456.6788098228,12243.3433940902,-843.9027808520,-8502.1903227275,-5832.6098074709,-8714.1637690800,-22058.8784087957,-11370.8343580075,-4637.7054763675,-6670.8667769970,-2080.7369952072,-24107.5413551776,6920.5965865911,9324.5684478997,15074.8759540602
560785699382,31116,-2,0,4118.1569897247,6451.6413833381,12235.0206894633,-849.2200643636,-8501.6427763705,-5841.9911017214,-8717.4490472222,-22056.6760556707,-11370.2624762569,-4639.2751092577,-6681.0511392378,-2078.5103066886,-24103.9762200085,6921.3388160973,9324.7631310489,15078.3680830484
560785699382,31116,-2,0,4116.8915492551,6449.9135703892,12228.2311146361,-854.4278386038,-8497.3475793920,-5851.4940729401,-8718.0330966697,-22053.0500820175,-11364.5436587501,-4635.6004648172,-6684.8839637370,-2071.9032473137,-24098.5372595286,6928.8097819466,9332.1610907172,15088.6741222575
560785699382,31116,-2,0,4119.7266226149,6453.8072333726,12229.6303997708,-852.6635225645,-8493.2227301690,-5847.7464223186,-8713.1051794564,-22049.4241083642,-11361.7329207840,-4632.3516897654,-6676.9749608021,-2067.7540626971,-24097.4786699050,6930.2942409590,9333.7063882138,15091.6187048886
560785730482,31117,-2,0,4123.3282608745,6460.1952742046,12236.9066824709,-842.8563589252,-8494.2934874895,-5835.0920176228,-8708.4571192701,-22048.1830032883,-11365.0425343198,-4632.6437144892,-6666.8757724391,-2069.6157203110,-24101.7251960962,6926.5344226407,9328.6324586386,15084.4154283694
560785730482,31117,-2,0,4120.8217153289,6459.4652123952,12241.9197735619,-840.8365212526,-8499.5742679106,-5830.1519327127,-8709.9659136761,-22052.0401631812,-11370.4328240124,-4634.6635521618,-6666.9852817105,-2074.2272774069,-24108.0402307473,6918.9417798232,9323.4490197920,15078.9521324959
560785730482,31117,-2,0,4116.9037169520,6453.2231839250,12237.0891979232,-846.8108603926,-8502.5918567227,-5837.0996875986,-8713.8960797499,-22051.6142937924,-11372.0267922962,-4634.9677445824,-6675.5635079707,-2075.2371962432,-24107.3466720284,6919.5136615738,9322.3904301684,15081.5560196160
560785730482,31117,-2,0,4118.4976852358,6452.9919976854,12227.9999283965,-850.1691447158,-8496.9582130937,-5845.1181998049,-8710.9149940283,-22045.4939422904,-11365.5292421927,-4631.3296032323,-6678.2647366654,-2066.5981314989,-24099.9243769664,6928.2135648022,9331.5283704824,15090.9738169570
560785730482,31117,-2,0,4124.6180367377,6458.9054983414,12230.4334677611,-845.7522707691,-8488.4043222272,-5838.4381342491,-8702.6044570982,-22037.4267592968,-11355.5638984947,-4621.8631351040,-6667.7396789135,-2058.8351409259,-24093.0617959583,6934.6989472089,9339.8389074125,15099.6980555790
560785730482,31117,-2,0,4130.5315373937,6464.5634773640,12243.8666050536,-838.6341681276,-8485.1920502659,-5822.6201283793,-8696.1799131757,-22035.4434247147,-11353.3858807634,-4614.9640510054,-6655.0487711272,-2058.7134639577,-24092.7332681441,6935.3438351405,9341.0921801853,15098.0554165079
560785730482,31117,-2,0,4129.3026000145,6464.0037633102,12251.9459557440,-834.5944927824,-8485.9221120753,-5814.5042745984,-8697.2141674057,-22042.7075397180,-11358.0582763434,-4617.6652797001,-6655.5963174842,-2063.9455735915,-24095.1789752055,6927.8607015944,9332.4044446537,15086.8854708245
560785730482,31117,-2,0,4124.8370552805,6456.7883190942,12246.3488152055,-842.2114709936,-8490.6431784426,-5822.2916005650,-8703.4440281790,-22047.4772768726,-11362.0614485982,-4622.3133398865,-6666.9001078327,-2068.7761492302,-24100.3137432648,6926.9602920295,9329.8735637145,15086.9584770054
560785760499,31118,-2,0,4121.8924726494,6452.4201159347,12236.3591361139,-850.2908216840,-8489.1343840365,-5836.6494828161,-8706.8509832894,-22047.2339229361,-11358.7761704560,-4623.9194758671,-6675.3931602151,-2066.4399514402,-24097.2961544527,6930.9269611938,9333.9010713629,15091.6187048886
560785760499,31118,-2,0,4121.7221248938,6454.7928168152,12230.6281509103,-850.0596354444,-8484.4376530629,-5836.9780106303,-8703.6752144186,-22042.0261486959,-11354.1524456633,-4621.5102718962,-6670.9884539652,-2060.9644878699,-24089.9833686621,6936.8404618497,9338.7194793048,15095.6827156275
560785760499,31118,-2,0,4123.6811240823,6460.9618391044,12238.2329614246,-840.6783411939,-8484.9730317231,-5823.8368980616,-8699.0514896259,-22041.8192978499,-11355.6490723725,-4619.6364465855,-6658.6139062963,-2061.3051833810,-24090.9932874984,6936.9864742116,9338.0624236764,15095.0013246054
560785760499,31118,-2,0,4122.8415530016,6463.1276891389,12247.7359326433,-836.4804857900,-8488.3799868335,-5814.9788147745,-8698.9541480513,-22045.2262529603,-11360.8811820064,-4621.1087379010,-6655.1096096113,-2066.6102991958,-24096.6025957338,6933.2631589838,9332.5017862283,15090.1099104826
560785760499,31118,-2,0,4119.9334734609,6460.9618391044,12245.2902255819,-837.4417338390,-8491.8842835185,-5821.9874081445,-8703.4318604822,-22047.6597923249,-11363.2417151900,-4626.1461643857,-6665.5251580917,-2070.6743099346,-24098.8901227365,6930.9877996779,9330.8104763699,15082.4199260905
560785760499,31118,-2,0,4120.7365414512,6457.4453747226,12236.6146577471,-844.5841718741,-8488.3556514399,-5834.5201358721,-8704.5756239835,-22045.4939422904,-11358.9100151210,-4625.0875747621,-6674.2007259265,-2065.1380078802,-24093.2686468043,6932.3384140252,9332.4652831378,15089.4528548541
560785760499,31118,-2,0,4124.3868504981,6461.1808576473,12236.8823470772,-843.4282406759,-8481.2010457080,-5835.8342471290,-8699.3435143497,-22040.8337144072,-11349.9667579562,-4618.1033167858,-6667.3624803120,-2059.2001718306,-24086.1870472533,6936.6701140942,9335.7870643705,15096.1815911972
560785760499,31118,-2,0,4127.5017808847,6466.8996751540,12245.8256042421,-837.0158644502,-8477.4777304802,-5822.7539730443,-8692.5052687352,-22038.0716472284,-11348.5309697311,-4615.0248894896,-6656.8252548633,-2058.2632591752,-24086.8927736691,6938.7386225541,9338.6099700334,15092.7868037836
560785794258,31119,-2,0,4129.7041340097,6470.4648103232,12253.4425824533,-829.4353893295,-8480.0937852971,-5812.1559091115,-8690.4489279721,-22039.6047770281,-11352.5219742890,-4616.1199822036,-6650.3398724567,-2061.3295187746,-24090.9689521047,6935.1491519913,9335.2395180134,15089.6962087906
560785794258,31119,-2,0,4125.1412477011,6465.8654209241,12254.2091473531,-832.2461272956,-8483.7927651313,-5816.6944600265,-8694.0383985349,-22040.8093790136,-11355.1380291059,-4619.1254033189,-6657.9081798806,-2063.6170457773,-24093.6823484963,6933.1901528028,9334.5337915977,15089.5623641255
560785794258,31119,-2,0,4124.7275460091,6461.7770747916,12244.8400207995,-839.4737392084,-8482.9653617473,-5829.0690076954,-8698.2605893324,-22038.7530382505,-11353.4588869444,-4618.7847078078,-6666.4377353535,-2059.5530350385,-24087.9026925054,6938.1789085002,9339.0845102095,15095.1230015736
