timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
561169761976,37823,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561169786845,37824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561169820846,37825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561169852016,37826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561169880723,37827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561169909161,37828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561169941010,37829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561169967029,37830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170042122,37831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170048308,37832,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170066603,37833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170096907,37834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170128562,37835,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170158194,37836,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170194673,37837,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170224888,37838,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170275033,37839,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170289619,37840,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170315758,37841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170344406,37842,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170417118,37843,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170425701,37844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170454677,37845,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170470750,37846,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170512111,37847,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170537133,37848,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170565820,37849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170598182,37850,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170628218,37851,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170659348,37852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170690767,37853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170732145,37854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170779466,37855,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170784526,37856,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170818431,37857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170851127,37858,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170908575,37859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170915857,37860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170943581,37861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561170973474,37862,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171002142,37863,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171035979,37864,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171087661,37865,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171099475,37866,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171162180,37867,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171169461,37868,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171197093,37869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171223519,37870,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171255877,37871,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171289975,37872,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171310076,37873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171349912,37874,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171378650,37875,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171409857,37876,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171443692,37877,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171544882,37878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171560699,37879,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171569606,37880,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171577080,37881,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171608499,37882,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171632229,37883,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171664856,37884,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171697123,37885,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171719815,37886,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171757143,37887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171786144,37888,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171818673,37889,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171884591,37890,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171894783,37891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171927133,37892,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171944836,37893,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561171978604,37894,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561172006016,37895,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561172035923,37896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561172074838,37897,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561172093642,37898,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561172131163,37899,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561172159879,37900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
