timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
561656183095,48275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656211757,48276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656240560,48277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656270569,48278,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656301869,48279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656333051,48280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656364551,48281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656418344,48282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656453136,48283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656463344,48284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656486777,48285,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656528161,48286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656555577,48287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656593569,48288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656616821,48289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656671088,48290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656679569,48291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656704312,48292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656738155,48293,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656808637,48294,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656822298,48295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656834349,48296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656870944,48297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656899595,48298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656939511,48299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561656959545,48300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657015466,48301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657026758,48302,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657052940,48303,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657085560,48304,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657116820,48305,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657178496,48306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657185497,48307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657214693,48308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657258491,48309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657318447,48310,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657324353,48311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657333305,48312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657366896,48313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657399752,48314,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657428579,48315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657464674,48316,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657485727,48317,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657544764,48318,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657550925,48319,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657583455,48320,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657614605,48321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657643414,48322,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657681930,48323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657708170,48324,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657744263,48325,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657766782,48326,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657799399,48327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657830837,48328,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657861735,48329,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657948394,48330,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657962134,48331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657969422,48332,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561657986422,48333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658019283,48334,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658062275,48335,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658094700,48336,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658125772,48337,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658148397,48338,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658179456,48339,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658213448,48340,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658273333,48341,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658280792,48342,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658303308,48343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658334731,48344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658364267,48345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658398493,48346,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658427081,48347,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658463496,48348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658490901,48349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658523451,48350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658593260,48351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658599430,48352,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658649668,48353,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658659506,48354,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658680680,48355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658710815,48356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658732873,48357,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658763348,48358,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658801070,48359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658833508,48360,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658863453,48361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658895970,48362,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658925965,48363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561658988374,48364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659025939,48365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659039712,48366,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659059434,48367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659087083,48368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659114642,48369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659144218,48370,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659174262,48371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659234437,48372,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659241844,48373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659273242,48374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659300688,48375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659378492,48376,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659388166,48377,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659399735,48378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659430849,48379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659459846,48380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659490882,48381,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659523530,48382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659551544,48383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659581265,48384,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659612399,48385,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659646943,48386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659678459,48387,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659748513,48388,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659755701,48389,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659782160,48390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659821920,48391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659830641,48392,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659878332,48393,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659907122,48394,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659945924,48395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659959399,48396,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561659998499,48397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561660026808,48398,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561660054301,48399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561660115979,48400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561660125695,48401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561660159490,48402,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561660179446,48403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
