timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
592607209591,41783,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607235882,41784,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607269616,41785,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607313643,41786,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607351021,41787,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607364977,41788,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607391422,41789,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607426053,41790,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607459973,41791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607487058,41792,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607520898,41793,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607549669,41794,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607582117,41795,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607612052,41796,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607650841,41797,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607675851,41798,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607730926,41799,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607737191,41800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607768385,41801,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607799859,41802,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607832192,41803,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607861445,41804,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607892179,41805,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607930000,41806,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607988764,41807,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592607994822,41808,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608014984,41809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608047489,41810,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608079800,41811,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608111234,41812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608142355,41813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608170754,41814,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608203807,41815,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608260961,41816,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608272463,41817,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608301022,41818,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608331185,41819,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608363528,41820,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608406251,41821,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608441010,41822,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608466533,41823,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608494746,41824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608522252,41825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608556385,41826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
592608575502,41827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
