timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
592607209591,41783,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
592607235882,41784,-2,0,-0.0011111111,0.0155555556,0.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
592607269616,41785,-2,0,-0.0088888889,0.0211111111,-0.0100000000,0.0000000000,0.0000000000,0.0000000000,1.2600000000,1.6200000000,-9.3700000000
592607313643,41786,-2,0,-0.0100000000,0.0100000000,-0.0100000000,0.0000000000,0.0000000000,0.0000000000,1.2700000000,1.5600000000,-9.3800000000
592607351021,41787,-2,0,-0.0011111111,0.0011111111,-0.0066666667,22.2500000000,11.1250000000,30.5625000000,1.2700000000,1.5800000000,-9.3200000000
592607364977,41788,-2,0,0.0055555556,0.0000000000,-0.0022222222,22.2500000000,11.1250000000,30.5625000000,1.2300000000,1.6100000000,-9.3500000000
592607391422,41789,-2,0,0.0088888889,-0.0011111111,-0.0022222222,22.2500000000,11.1250000000,30.5625000000,1.2800000000,1.6300000000,-9.2900000000
592607426053,41790,-2,0,0.0088888889,0.0088888889,-0.0088888889,22.2500000000,11.1250000000,30.5625000000,1.2800000000,1.6400000000,-9.3200000000
592607459973,41791,-2,0,0.0033333333,0.0122222222,-0.0088888889,23.4375000000,12.6250000000,30.5625000000,1.2000000000,1.6200000000,-9.3800000000
592607487058,41792,-2,0,0.0000000000,0.0066666667,0.0022222222,23.4375000000,12.6250000000,30.5625000000,1.2400000000,1.6500000000,-9.3000000000
592607520898,41793,-2,0,0.0000000000,0.0166666667,-0.0066666667,23.4375000000,12.6250000000,30.5625000000,1.2300000000,1.6100000000,-9.3300000000
592607549669,41794,-2,0,-0.0044444444,0.0077777778,-0.0033333333,22.2500000000,12.6250000000,29.8125000000,1.1600000000,1.6300000000,-9.4300000000
592607582117,41795,-2,0,-0.0011111111,-0.0044444444,0.0088888889,22.2500000000,12.6250000000,29.8125000000,1.2400000000,1.6600000000,-9.3100000000
592607612052,41796,-2,0,-0.0011111111,-0.0022222222,-0.0033333333,22.2500000000,12.6250000000,29.8125000000,1.2600000000,1.6200000000,-9.3100000000
592607650841,41797,-2,0,-0.0033333333,-0.0055555556,0.0000000000,23.4375000000,11.5000000000,30.9375000000,1.1300000000,1.6400000000,-9.4000000000
