timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
593215938949,53532,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593215986463,53533,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216006466,53534,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216035414,53535,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216064073,53536,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216110259,53537,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216125343,53538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216182126,53539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216192889,53540,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216221428,53541,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216262873,53542,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216281775,53543,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216316644,53544,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216343206,53545,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216378074,53546,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216412856,53547,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216445708,53548,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216481564,53549,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216501515,53550,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216555770,53551,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216562860,53552,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216591807,53553,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216635277,53554,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216655300,53555,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216686553,53556,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216719048,53557,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216747838,53558,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216781464,53559,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216812631,53560,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216857143,53561,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216876310,53562,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
593216918176,53563,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
