timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
593215938949,53532,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
593215986463,53533,-2,0,0.0111111111,0.0244444444,-0.0166666667,0.0000000000,0.0000000000,0.0000000000,0.9300000000,0.1500000000,-9.5000000000
593216006466,53534,-2,0,0.0088888889,0.0055555556,-0.0100000000,0.0000000000,0.0000000000,0.0000000000,0.9800000000,0.1600000000,-9.4900000000
593216035414,53535,-2,0,0.0022222222,0.0000000000,-0.0111111111,0.0000000000,0.0000000000,0.0000000000,0.9700000000,0.2100000000,-9.4600000000
593216064073,53536,-2,0,0.0000000000,0.0033333333,-0.0055555556,22.5625000000,18.5625000000,28.3125000000,0.9100000000,0.1600000000,-9.4900000000
593216110259,53537,-2,0,-0.0055555556,0.0033333333,-0.0100000000,22.5625000000,18.5625000000,28.3125000000,0.9900000000,0.1600000000,-9.4900000000
593216125343,53538,-2,0,-0.0100000000,0.0000000000,-0.0044444444,22.5625000000,18.5625000000,28.3125000000,0.9600000000,0.1300000000,-9.5100000000
593216182126,53539,-2,0,-0.0100000000,-0.0022222222,-0.0055555556,22.1250000000,20.0625000000,29.0625000000,0.9800000000,0.0900000000,-9.4800000000
593216192889,53540,-2,0,-0.0022222222,-0.0055555556,-0.0066666667,22.1250000000,20.0625000000,29.0625000000,0.9400000000,0.1300000000,-9.4700000000
593216221428,53541,-2,0,-0.0011111111,-0.0088888889,-0.0122222222,22.1250000000,20.0625000000,29.0625000000,1.0100000000,0.1500000000,-9.5000000000
593216262873,53542,-2,0,0.0000000000,-0.0111111111,-0.0111111111,22.5625000000,17.8125000000,27.5625000000,1.0500000000,0.1600000000,-9.5300000000
593216281775,53543,-2,0,-0.0033333333,-0.0144444444,0.0033333333,22.5625000000,17.8125000000,27.5625000000,0.9500000000,0.0800000000,-9.4900000000
593216316644,53544,-2,0,-0.0222222222,-0.0100000000,0.0033333333,22.5625000000,17.8125000000,27.5625000000,1.0200000000,0.1200000000,-9.5400000000
593216343206,53545,-2,0,-0.0177777778,-0.0044444444,0.0044444444,22.5625000000,17.8125000000,27.5625000000,1.0200000000,0.1200000000,-9.5000000000
593216378074,53546,-2,0,0.0066666667,-0.0011111111,0.0011111111,23.3750000000,17.4375000000,29.8125000000,0.9200000000,0.1100000000,-9.4600000000
593216412856,53547,-2,0,0.0033333333,0.0000000000,-0.0022222222,23.3750000000,17.4375000000,29.8125000000,1.0100000000,0.1100000000,-9.4900000000
593216445708,53548,-2,0,0.0022222222,0.0011111111,0.0066666667,23.3750000000,17.4375000000,29.8125000000,1.0000000000,0.1400000000,-9.4800000000
593216481564,53549,-2,0,-0.0011111111,0.0055555556,-0.0055555556,22.5625000000,18.5625000000,28.3125000000,0.9200000000,0.1200000000,-9.4300000000
593216501515,53550,-2,0,-0.0011111111,0.0000000000,-0.0055555556,22.5625000000,18.5625000000,28.3125000000,0.9800000000,0.1000000000,-9.5300000000
593216555770,53551,-2,0,0.0000000000,0.0000000000,-0.0033333333,22.5625000000,18.5625000000,28.3125000000,1.0200000000,0.1400000000,-9.4900000000
593216562860,53552,-2,0,0.0033333333,0.0066666667,-0.0044444444,23.7500000000,17.8125000000,27.9375000000,0.8900000000,0.0900000000,-9.4600000000
593216591807,53553,-2,0,0.0000000000,0.0055555556,-0.0100000000,23.7500000000,17.8125000000,27.9375000000,0.9400000000,0.1500000000,-9.5500000000
593216635277,53554,-2,0,0.0066666667,-0.0011111111,-0.0111111111,23.7500000000,17.8125000000,27.9375000000,1.0100000000,0.1400000000,-9.5200000000
593216655300,53555,-2,0,0.0033333333,-0.0088888889,-0.0055555556,22.5625000000,18.1875000000,29.4375000000,1.0100000000,0.1600000000,-9.4200000000
593216686553,53556,-2,0,0.0000000000,-0.0011111111,-0.0177777778,22.5625000000,18.1875000000,29.4375000000,0.9900000000,0.2000000000,-9.4700000000
593216719048,53557,-2,0,-0.0100000000,-0.0055555556,-0.0033333333,22.5625000000,18.1875000000,29.4375000000,1.0200000000,0.1100000000,-9.5100000000
593216747838,53558,-2,0,-0.0155555556,0.0033333333,-0.0011111111,23.8125000000,17.0625000000,28.3125000000,1.0500000000,0.0900000000,-9.4700000000
593216781464,53559,-2,0,-0.0077777778,0.0055555556,-0.0077777778,23.8125000000,17.0625000000,28.3125000000,1.0000000000,0.0800000000,-9.4500000000
593216812631,53560,-2,0,0.0166666667,0.0000000000,-0.0111111111,23.8125000000,17.0625000000,28.3125000000,1.0500000000,0.1400000000,-9.4700000000
593216857143,53561,-2,0,0.0211111111,0.0066666667,-0.0033333333,23.3750000000,17.8125000000,29.4375000000,1.0400000000,0.2000000000,-9.4900000000
593216876310,53562,-2,0,0.0055555556,0.0133333333,-0.0100000000,23.3750000000,17.8125000000,29.4375000000,0.9200000000,0.1700000000,-9.4700000000
593216918176,53563,5,0,-0.0066666667,0.0111111111,-0.0011111111,23.3750000000,17.8125000000,29.4375000000,1.0000000000,0.1400000000,-9.4900000000
593216932817,53564,5,0,-0.0100000000,0.0066666667,0.0011111111,23.3750000000,17.8125000000,29.4375000000,1.0500000000,0.1100000000,-9.5000000000
593216962528,53565,5,0,0.0000000000,0.0011111111,0.0000000000,23.0000000000,18.1875000000,31.2500000000,0.8700000000,0.1100000000,-9.4900000000
593216995574,53566,5,0,0.0033333333,0.0033333333,-0.0088888889,23.0000000000,18.1875000000,31.2500000000,0.9800000000,0.1000000000,-9.4600000000
593217029215,53567,5,0,0.0000000000,-0.0033333333,0.0000000000,23.0000000000,18.1875000000,31.2500000000,1.0200000000,0.0800000000,-9.5300000000
593217061862,53568,5,0,0.0011111111,0.0000000000,0.0044444444,23.3750000000,16.3125000000,27.9375000000,0.9700000000,0.0500000000,-9.5100000000
593217094078,53569,5,0,0.0066666667,-0.0022222222,-0.0033333333,23.3750000000,16.3125000000,27.9375000000,0.9700000000,0.1100000000,-9.4900000000
593217127934,53570,5,0,0.0133333333,0.0000000000,-0.0033333333,23.3750000000,16.3125000000,27.9375000000,1.0300000000,0.1500000000,-9.4600000000
593217154089,53571,5,0,0.0100000000,0.0033333333,0.0011111111,23.0000000000,17.8125000000,28.6875000000,1.0600000000,0.1400000000,-9.4900000000
593217185200,53572,5,0,-0.0055555556,0.0100000000,0.0055555556,23.0000000000,17.8125000000,28.6875000000,0.9600000000,0.0800000000,-9.5500000000
593217222891,53573,5,0,-0.0100000000,0.0111111111,-0.0011111111,23.0000000000,17.8125000000,28.6875000000,1.0600000000,0.1000000000,-9.5500000000
593217269095,53574,5,0,0.0177777778,0.0044444444,-0.0066666667,23.3750000000,17.4375000000,27.5625000000,1.0500000000,0.1900000000,-9.4500000000
593217285373,53575,5,0,0.0300000000,0.0111111111,0.0000000000,23.3750000000,17.4375000000,27.5625000000,0.9900000000,0.1800000000,-9.4600000000
593217316767,53576,5,0,0.0233333333,0.0244444444,-0.0100000000,23.3750000000,17.4375000000,27.5625000000,1.0200000000,0.2100000000,-9.4900000000
593217338039,53577,5,0,0.0100000000,0.0211111111,-0.0088888889,24.6250000000,17.0625000000,30.9375000000,1.0300000000,0.2400000000,-9.4900000000
593217368880,53578,5,0,-0.0033333333,0.0144444444,0.0022222222,24.6250000000,17.0625000000,30.9375000000,0.9200000000,0.1400000000,-9.5200000000
593217402938,53579,5,0,0.0088888889,0.0211111111,-0.0077777778,24.6250000000,17.0625000000,30.9375000000,0.9600000000,0.1400000000,-9.4600000000
593217439056,53580,5,0,0.0222222222,0.0088888889,-0.0111111111,24.6250000000,17.0625000000,30.9375000000,0.9900000000,0.1800000000,-9.4500000000
593217466446,53581,5,0,0.0277777778,0.0111111111,-0.0055555556,24.6250000000,18.5625000000,29.8125000000,0.9200000000,0.1900000000,-9.5000000000
593217500360,53582,5,0,0.0188888889,0.0100000000,-0.0100000000,24.6250000000,18.5625000000,29.8125000000,0.9300000000,0.2300000000,-9.4900000000
593217557835,53583,5,0,0.0077777778,0.0066666667,-0.0100000000,24.6250000000,18.5625000000,29.8125000000,0.9400000000,0.1700000000,-9.4800000000
593217567913,53584,5,0,0.0111111111,0.0100000000,-0.0011111111,22.1875000000,17.4375000000,28.3125000000,0.9600000000,0.1900000000,-9.5000000000
593217596351,53585,5,0,0.0077777778,0.0100000000,-0.0011111111,22.1875000000,17.4375000000,28.3125000000,0.9100000000,0.2000000000,-9.4800000000
593217622711,53586,5,0,0.0000000000,0.0033333333,0.0000000000,22.1875000000,17.4375000000,28.3125000000,0.9300000000,0.1600000000,-9.5200000000
593217656521,53587,5,0,0.0000000000,0.0000000000,0.0022222222,22.6250000000,17.8125000000,29.8125000000,0.9700000000,0.1800000000,-9.5200000000
593217686313,53588,5,0,0.0011111111,-0.0022222222,-0.0122222222,22.6250000000,17.8125000000,29.8125000000,0.8900000000,0.2200000000,-9.4700000000
593217716537,53589,5,0,0.0088888889,-0.0077777778,-0.0066666667,22.6250000000,17.8125000000,29.8125000000,0.9600000000,0.2500000000,-9.4700000000
593217745923,53590,5,0,0.0088888889,-0.0077777778,-0.0100000000,24.2500000000,18.1875000000,29.0625000000,1.0200000000,0.2200000000,-9.4700000000
593217777715,53591,5,0,0.0033333333,-0.0055555556,-0.0133333333,24.2500000000,18.1875000000,29.0625000000,0.8900000000,0.2500000000,-9.5200000000
593217809093,53592,5,0,0.0044444444,-0.0033333333,-0.0100000000,24.2500000000,18.1875000000,29.0625000000,1.0200000000,0.2100000000,-9.4700000000
593217840147,53593,5,0,0.0044444444,0.0022222222,-0.0166666667,23.8125000000,17.0625000000,29.8125000000,1.0100000000,0.2200000000,-9.5000000000
593217872905,53594,5,0,0.0055555556,0.0066666667,-0.0133333333,23.8125000000,17.0625000000,29.8125000000,0.9400000000,0.2100000000,-9.4800000000
593217915409,53595,5,0,0.0044444444,0.0055555556,-0.0100000000,23.8125000000,17.0625000000,29.8125000000,0.9700000000,0.2300000000,-9.4700000000
593217936892,53596,5,0,0.0022222222,0.0066666667,-0.0055555556,23.8125000000,17.0625000000,29.8125000000,0.9600000000,0.2200000000,-9.4900000000
593217969247,53597,5,0,0.0011111111,0.0022222222,-0.0100000000,23.4375000000,18.1875000000,30.1875000000,0.9700000000,0.2200000000,-9.5200000000
593218000421,53598,5,0,0.0000000000,-0.0044444444,-0.0144444444,23.4375000000,18.1875000000,30.1875000000,0.9200000000,0.2100000000,-9.4600000000
593218056551,53599,5,0,0.0000000000,-0.0077777778,-0.0088888889,23.4375000000,18.1875000000,30.1875000000,0.9500000000,0.2300000000,-9.4700000000
593218068936,53600,5,0,0.0000000000,-0.0100000000,-0.0088888889,23.4375000000,17.8125000000,29.8125000000,1.0200000000,0.2400000000,-9.5000000000
593218089280,53601,5,0,-0.0144444444,-0.0211111111,0.0044444444,23.4375000000,17.8125000000,29.8125000000,0.9300000000,0.1800000000,-9.5000000000
593218118845,53602,5,0,-0.0244444444,-0.0144444444,0.0000000000,23.4375000000,17.8125000000,29.8125000000,1.0700000000,0.1300000000,-9.5800000000
593218150107,53603,5,0,-0.0100000000,-0.0200000000,0.0066666667,23.0000000000,17.4375000000,29.4375000000,1.1000000000,0.1500000000,-9.4900000000
593218183926,53604,5,0,0.0122222222,-0.0088888889,0.0000000000,23.0000000000,17.4375000000,29.4375000000,1.0300000000,0.1700000000,-9.3900000000
593218219250,53605,5,0,0.0144444444,0.0033333333,-0.0066666667,23.0000000000,17.4375000000,29.4375000000,1.1000000000,0.2300000000,-9.5000000000
593218250466,53606,5,0,0.0088888889,0.0033333333,0.0000000000,23.4375000000,17.4375000000,27.5625000000,1.0300000000,0.2400000000,-9.4800000000
593218285515,53607,5,0,-0.0011111111,0.0177777778,-0.0033333333,23.4375000000,17.4375000000,27.5625000000,0.9200000000,0.2200000000,-9.4800000000
593218313983,53608,5,0,-0.0066666667,0.0188888889,-0.0033333333,23.4375000000,17.4375000000,27.5625000000,1.0000000000,0.1900000000,-9.5100000000
593218342784,53609,5,0,0.0077777778,0.0111111111,0.0000000000,23.8125000000,18.9375000000,30.1875000000,1.0000000000,0.2000000000,-9.5100000000
593218375438,53610,5,0,0.0166666667,0.0100000000,-0.0044444444,23.8125000000,18.9375000000,30.1875000000,0.8900000000,0.2000000000,-9.4600000000
593218427891,53611,5,0,0.0122222222,0.0077777778,-0.0011111111,23.8125000000,18.9375000000,30.1875000000,1.0200000000,0.2600000000,-9.5700000000
593218440558,53612,5,0,0.0044444444,0.0033333333,0.0000000000,23.8125000000,18.9375000000,30.1875000000,1.0800000000,0.2400000000,-9.5200000000
