id,HandStart,FirstDigitTouch,BothStartLoadPhase,LiftOff,Replace,BothReleased
subj1_series1_0,0,0,0,0,0,0
subj1_series1_1,0,0,0,0,0,0
subj1_series1_2,0,0,0,0,0,0
subj1_series1_3,0,0,0,0,0,0
subj1_series1_4,0,0,0,0,0,0
subj1_series1_5,0,0,0,0,0,0
subj1_series1_6,0,0,0,0,0,0
subj1_series1_7,0,0,0,0,0,0
subj1_series1_8,0,0,0,0,0,0
subj1_series1_9,0,0,0,0,0,0
subj1_series1_10,0,0,0,0,0,0
subj1_series1_11,0,0,0,0,0,0
subj1_series1_12,0,0,0,0,0,0
subj1_series1_13,0,0,0,0,0,0
subj1_series1_14,0,0,0,0,0,0
subj1_series1_15,0,0,0,0,0,0
subj1_series1_16,0,0,0,0,0,0
subj1_series1_17,0,0,0,0,0,0
subj1_series1_18,0,0,0,0,0,0
subj1_series1_19,0,0,0,0,0,0
subj1_series1_20,0,0,0,0,0,0
subj1_series1_21,0,0,0,0,0,0
subj1_series1_22,0,0,0,0,0,0
subj1_series1_23,0,0,0,0,0,0
subj1_series1_24,0,0,0,0,0,0
subj1_series1_25,0,0,0,0,0,0
subj1_series1_26,0,0,0,0,0,0
subj1_series1_27,0,0,0,0,0,0
subj1_series1_28,0,0,0,0,0,0
subj1_series1_29,0,0,0,0,0,0
subj1_series1_30,0,0,0,0,0,0
subj1_series1_31,0,0,0,0,0,0
subj1_series1_32,0,0,0,0,0,0
subj1_series1_33,0,0,0,0,0,0
subj1_series1_34,0,0,0,0,0,0
subj1_series1_35,0,0,0,0,0,0
subj1_series1_36,0,0,0,0,0,0
subj1_series1_37,0,0,0,0,0,0
subj1_series1_38,0,0,0,0,0,0
subj1_series1_39,0,0,0,0,0,0
subj1_series1_40,0,0,0,0,0,0
subj1_series1_41,0,0,0,0,0,0
subj1_series1_42,0,0,0,0,0,0
subj1_series1_43,0,0,0,0,0,0
subj1_series1_44,0,0,0,0,0,0
subj1_series1_45,0,0,0,0,0,0
subj1_series1_46,0,0,0,0,0,0
subj1_series1_47,0,0,0,0,0,0
subj1_series1_48,0,0,0,0,0,0
subj1_series1_49,0,0,0,0,0,0
subj1_series1_50,0,0,0,0,0,0
subj1_series1_51,0,0,0,0,0,0
subj1_series1_52,0,0,0,0,0,0
subj1_series1_53,0,0,0,0,0,0
subj1_series1_54,0,0,0,0,0,0
subj1_series1_55,0,0,0,0,0,0
subj1_series1_56,0,0,0,0,0,0
subj1_series1_57,0,0,0,0,0,0
subj1_series1_58,0,0,0,0,0,0
subj1_series1_59,0,0,0,0,0,0
subj1_series1_60,0,0,0,0,0,0
subj1_series1_61,0,0,0,0,0,0
subj1_series1_62,0,0,0,0,0,0
subj1_series1_63,0,0,0,0,0,0
subj1_series1_64,0,0,0,0,0,0
subj1_series1_65,0,0,0,0,0,0
subj1_series1_66,0,0,0,0,0,0
subj1_series1_67,0,0,0,0,0,0
subj1_series1_68,0,0,0,0,0,0
subj1_series1_69,0,0,0,0,0,0
subj1_series1_70,0,0,0,0,0,0
subj1_series1_71,0,0,0,0,0,0
subj1_series1_72,0,0,0,0,0,0
subj1_series1_73,0,0,0,0,0,0
subj1_series1_74,0,0,0,0,0,0
subj1_series1_75,0,0,0,0,0,0
subj1_series1_76,0,0,0,0,0,0
subj1_series1_77,0,0,0,0,0,0
subj1_series1_78,0,0,0,0,0,0
subj1_series1_79,0,0,0,0,0,0
subj1_series1_80,0,0,0,0,0,0
subj1_series1_81,0,0,0,0,0,0
subj1_series1_82,0,0,0,0,0,0
subj1_series1_83,0,0,0,0,0,0
subj1_series1_84,0,0,0,0,0,0
subj1_series1_85,0,0,0,0,0,0
subj1_series1_86,0,0,0,0,0,0
subj1_series1_87,0,0,0,0,0,0
subj1_series1_88,0,0,0,0,0,0
subj1_series1_89,0,0,0,0,0,0
subj1_series1_90,0,0,0,0,0,0
subj1_series1_91,0,0,0,0,0,0
subj1_series1_92,0,0,0,0,0,0
subj1_series1_93,0,0,0,0,0,0
subj1_series1_94,0,0,0,0,0,0
subj1_series1_95,0,0,0,0,0,0
subj1_series1_96,0,0,0,0,0,0
subj1_series1_97,0,0,0,0,0,0
subj1_series1_98,0,0,0,0,0,0
subj1_series1_99,0,0,0,0,0,0
subj1_series1_100,0,0,0,0,0,0
subj1_series1_101,0,0,0,0,0,0
subj1_series1_102,0,0,0,0,0,0
subj1_series1_103,0,0,0,0,0,0
subj1_series1_104,0,0,0,0,0,0
subj1_series1_105,0,0,0,0,0,0
subj1_series1_106,0,0,0,0,0,0
subj1_series1_107,0,0,0,0,0,0
subj1_series1_108,0,0,0,0,0,0
subj1_series1_109,0,0,0,0,0,0
subj1_series1_110,0,0,0,0,0,0
subj1_series1_111,0,0,0,0,0,0
subj1_series1_112,0,0,0,0,0,0
subj1_series1_113,0,0,0,0,0,0
subj1_series1_114,0,0,0,0,0,0
subj1_series1_115,0,0,0,0,0,0
subj1_series1_116,0,0,0,0,0,0
subj1_series1_117,0,0,0,0,0,0
subj1_series1_118,0,0,0,0,0,0
subj1_series1_119,0,0,0,0,0,0
subj1_series1_120,0,0,0,0,0,0
subj1_series1_121,0,0,0,0,0,0
subj1_series1_122,0,0,0,0,0,0
subj1_series1_123,0,0,0,0,0,0
subj1_series1_124,0,0,0,0,0,0
subj1_series1_125,0,0,0,0,0,0
subj1_series1_126,0,0,0,0,0,0
subj1_series1_127,0,0,0,0,0,0
subj1_series1_128,0,0,0,0,0,0
subj1_series1_129,0,0,0,0,0,0
subj1_series1_130,0,0,0,0,0,0
subj1_series1_131,0,0,0,0,0,0
subj1_series1_132,0,0,0,0,0,0
subj1_series1_133,0,0,0,0,0,0
subj1_series1_134,0,0,0,0,0,0
subj1_series1_135,0,0,0,0,0,0
subj1_series1_136,0,0,0,0,0,0
subj1_series1_137,0,0,0,0,0,0
subj1_series1_138,0,0,0,0,0,0
subj1_series1_139,0,0,0,0,0,0
subj1_series1_140,0,0,0,0,0,0
subj1_series1_141,0,0,0,0,0,0
subj1_series1_142,0,0,0,0,0,0
subj1_series1_143,0,0,0,0,0,0
subj1_series1_144,0,0,0,0,0,0
subj1_series1_145,0,0,0,0,0,0
subj1_series1_146,0,0,0,0,0,0
subj1_series1_147,0,0,0,0,0,0
subj1_series1_148,0,0,0,0,0,0
subj1_series1_149,0,0,0,0,0,0
subj1_series1_150,0,0,0,0,0,0
subj1_series1_151,0,0,0,0,0,0
subj1_series1_152,0,0,0,0,0,0
subj1_series1_153,0,0,0,0,0,0
subj1_series1_154,0,0,0,0,0,0
subj1_series1_155,0,0,0,0,0,0
subj1_series1_156,0,0,0,0,0,0
subj1_series1_157,0,0,0,0,0,0
subj1_series1_158,0,0,0,0,0,0
subj1_series1_159,0,0,0,0,0,0
subj1_series1_160,0,0,0,0,0,0
subj1_series1_161,0,0,0,0,0,0
subj1_series1_162,0,0,0,0,0,0
subj1_series1_163,0,0,0,0,0,0
subj1_series1_164,0,0,0,0,0,0
subj1_series1_165,0,0,0,0,0,0
subj1_series1_166,0,0,0,0,0,0
subj1_series1_167,0,0,0,0,0,0
subj1_series1_168,0,0,0,0,0,0
subj1_series1_169,0,0,0,0,0,0
subj1_series1_170,0,0,0,0,0,0
subj1_series1_171,0,0,0,0,0,0
subj1_series1_172,0,0,0,0,0,0
subj1_series1_173,0,0,0,0,0,0
subj1_series1_174,0,0,0,0,0,0
subj1_series1_175,0,0,0,0,0,0
subj1_series1_176,0,0,0,0,0,0
subj1_series1_177,0,0,0,0,0,0
subj1_series1_178,0,0,0,0,0,0
subj1_series1_179,0,0,0,0,0,0
subj1_series1_180,0,0,0,0,0,0
subj1_series1_181,0,0,0,0,0,0
subj1_series1_182,0,0,0,0,0,0
subj1_series1_183,0,0,0,0,0,0
subj1_series1_184,0,0,0,0,0,0
subj1_series1_185,0,0,0,0,0,0
subj1_series1_186,0,0,0,0,0,0
subj1_series1_187,0,0,0,0,0,0
subj1_series1_188,0,0,0,0,0,0
subj1_series1_189,0,0,0,0,0,0
subj1_series1_190,0,0,0,0,0,0
subj1_series1_191,0,0,0,0,0,0
subj1_series1_192,0,0,0,0,0,0
subj1_series1_193,0,0,0,0,0,0
subj1_series1_194,0,0,0,0,0,0
subj1_series1_195,0,0,0,0,0,0
subj1_series1_196,0,0,0,0,0,0
subj1_series1_197,0,0,0,0,0,0
subj1_series1_198,0,0,0,0,0,0
subj1_series1_199,0,0,0,0,0,0
subj1_series1_200,0,0,0,0,0,0
subj1_series1_201,0,0,0,0,0,0
subj1_series1_202,0,0,0,0,0,0
subj1_series1_203,0,0,0,0,0,0
subj1_series1_204,0,0,0,0,0,0
subj1_series1_205,0,0,0,0,0,0
subj1_series1_206,0,0,0,0,0,0
subj1_series1_207,0,0,0,0,0,0
subj1_series1_208,0,0,0,0,0,0
subj1_series1_209,0,0,0,0,0,0
subj1_series1_210,0,0,0,0,0,0
subj1_series1_211,0,0,0,0,0,0
subj1_series1_212,0,0,0,0,0,0
subj1_series1_213,0,0,0,0,0,0
subj1_series1_214,0,0,0,0,0,0
subj1_series1_215,0,0,0,0,0,0
subj1_series1_216,0,0,0,0,0,0
subj1_series1_217,0,0,0,0,0,0
subj1_series1_218,0,0,0,0,0,0
subj1_series1_219,0,0,0,0,0,0
subj1_series1_220,0,0,0,0,0,0
subj1_series1_221,0,0,0,0,0,0
subj1_series1_222,0,0,0,0,0,0
subj1_series1_223,0,0,0,0,0,0
subj1_series1_224,0,0,0,0,0,0
subj1_series1_225,0,0,0,0,0,0
subj1_series1_226,0,0,0,0,0,0
subj1_series1_227,0,0,0,0,0,0
subj1_series1_228,0,0,0,0,0,0
subj1_series1_229,0,0,0,0,0,0
subj1_series1_230,0,0,0,0,0,0
subj1_series1_231,0,0,0,0,0,0
subj1_series1_232,0,0,0,0,0,0
subj1_series1_233,0,0,0,0,0,0
subj1_series1_234,0,0,0,0,0,0
subj1_series1_235,0,0,0,0,0,0
subj1_series1_236,0,0,0,0,0,0
subj1_series1_237,0,0,0,0,0,0
subj1_series1_238,0,0,0,0,0,0
subj1_series1_239,0,0,0,0,0,0
subj1_series1_240,0,0,0,0,0,0
subj1_series1_241,0,0,0,0,0,0
subj1_series1_242,0,0,0,0,0,0
subj1_series1_243,0,0,0,0,0,0
subj1_series1_244,0,0,0,0,0,0
